primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
XIST	-1.123445286395259	-0.7643275713219768	-1.4825630014685414	-6.131449960597648	1.2084559095851833e-5	0.039903214134502756	DiagnosisPD
TENM1	-0.2576394440814539	-0.16989042473320576	-0.34538846342970203	-5.754640167459058	8.455398327850516e-6	0.027928180676890253	DiagnosisPD
DMXL2	-0.2427162511391342	-0.14292947767073583	-0.34250302460753257	-4.767316290128738	1.942916079814873e-4	0.6398022650830377	DiagnosisPD
SCAPER	-0.21153800338343254	-0.10728828859916037	-0.3157877181677047	-3.977055178050139	0.001569123261600987	1	DiagnosisPD
CMYA5	-0.23868371533825683	-0.11172103288807797	-0.36564639778843566	-3.6846376961416722	0.001267997249521287	1	DiagnosisPD
XKR6	-0.21828973509711602	-0.09674217550629889	-0.33983729468793317	-3.519939194381484	4.347038698181248e-4	1	DiagnosisPD
CDH4	-0.2782555383467513	-0.1195336831054642	-0.43697739358803844	-3.4360159968478823	0.0012614593271734096	1	DiagnosisPD
LRBA	-0.13628954753633327	-0.055037243614705175	-0.21754185145796134	-3.2875696041570204	0.003814080910708915	1	DiagnosisPD
MMP16	-0.3306265748727628	-0.13151580721105222	-0.5297373425344734	-3.254551156085294	0.01018093014784437	1	DiagnosisPD
FHOD3	-0.12700136300597842	-0.048526952866935466	-0.20547577314502136	-3.1719651927064607	0.002465472936569305	1	DiagnosisPD
LHFPL3	-0.2837170863748488	-0.10042208149402865	-0.467012091255669	-3.0337720957257273	0.015612554718255114	1	DiagnosisPD
GRIK1	-0.3166282544104324	-0.10935118175271213	-0.5239053270681526	-2.993963428637406	0.01355752130001039	1	DiagnosisPD
ITFG1	-0.17047605604344285	-0.05642196099880721	-0.2845301510880785	-2.9295478600818106	0.022033738223482154	1	DiagnosisPD
CCDC7	-0.16985561107712077	-0.05238491169212718	-0.2873263104621144	-2.83399079111746	0.009659060519846031	1	DiagnosisPD
CHL1	-0.2804962167146048	-0.08473436782603033	-0.47625806560317924	-2.8083228968341327	0.007000323928703111	1	DiagnosisPD
SLC30A9	-0.11044686940084825	-0.03253778986758214	-0.18835594893411434	-2.778519365492323	0.05883250943059333	1	DiagnosisPD
AL392023.2	-0.5652875189380953	-0.1549953400596405	-0.9755796978165501	-2.7003760614137566	5.485019933254524e-6	0.018133475899339457	DiagnosisPD
BX284613.2	-0.3751555038330774	-0.0991191248329703	-0.6511918828331844	-2.6637477233191946	2.4351747697644774e-4	0.801659534206466	DiagnosisPD
ADCY8	-0.18994340690262668	-0.04739470737195223	-0.3324921064333011	-2.611614401644366	0.025863007341006286	1	DiagnosisPD
DTNB	-0.10746499134616572	-0.026371369237353212	-0.1885586134549782	-2.597337585374723	0.05193591140427653	1	DiagnosisPD
RGS12	-0.2292507154674307	-0.055238465932214764	-0.40326296500264663	-2.582135148222834	0.030922872022011556	1	DiagnosisPD
DCLK2	-0.17774083588252237	-0.042272045491179355	-0.3132096262738654	-2.5715564146208703	4.1347707263985673e-4	1	DiagnosisPD
ATRN	-0.09808137035624587	-0.023284053924577025	-0.1728786867879147	-2.57009158380961	0.07338928724890768	1	DiagnosisPD
MAP4K5	-0.2734311281253887	-0.06464021015887458	-0.4822220460919029	-2.5667551471940406	0.007749286335177315	1	DiagnosisPD
PPP3CB	-0.07541852104503677	-0.017788052910094075	-0.13304898917997945	-2.5649207754035737	0.02975074542946775	1	DiagnosisPD
SOX2-OT	-0.4586837591207922	-0.1053082872729072	-0.8120592309686772	-2.544046544795802	0.03421598752712182	1	DiagnosisPD
PTPRG	-0.22657363660881158	-0.051552081001187966	-0.4015951922164352	-2.5372655731337437	0.05040563870181369	1	DiagnosisPD
CKMT2-AS1	-0.2473387655811209	-0.0530651044888705	-0.4416124266733713	-2.4953206203768286	0.0063587169271646215	1	DiagnosisPD
MAPK8	-0.1592184430335435	-0.03344450190926759	-0.28499238415781936	-2.481137278762235	0.02498254711336753	1	DiagnosisPD
ANKRD36C	-0.14289469015128908	-0.029255126975713613	-0.2565342533268645	-2.46453293599717	0.04139333587797253	1	DiagnosisPD
PTPRN2	-0.23035253085696383	-0.04715698599980961	-0.41354807571411806	-2.464484955566696	0.0012679844102402521	1	DiagnosisPD
LSAMP	-0.11575828357192908	-0.023600699583157164	-0.207915867560701	-2.4618925203247284	0.0473878804947417	1	DiagnosisPD
