primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
ADD1	-0.1958323494645663	-0.09527181487065407	-0.2963928840584785	-3.816848761876488	6.147802383210222e-4	1	DiagnosisPD
CHN1	-0.24559974989440336	-0.11202064985611077	-0.37917884993269596	-3.603607632235012	0.004075642800408813	1	DiagnosisPD
TUT4	-0.2547076041244556	-0.10909116478874356	-0.4003240434601676	-3.428306123606655	0.0020892392792343515	1	DiagnosisPD
ANKS1B	-0.3768105544725415	-0.15792995370938365	-0.5956911552356994	-3.374146055821042	0.0010763262065939814	1	DiagnosisPD
PDE8A	-0.3451034092681109	-0.14031617358530613	-0.5498906449509157	-3.3028926380702033	7.406960760273337e-4	1	DiagnosisPD
ZNF138	-0.13794862813654873	-0.05601828491623077	-0.21987897135686668	-3.3000513880099787	0.018923817422022926	1	DiagnosisPD
TRIP11	-0.16572593631149968	-0.06662690651385962	-0.26482496610913975	-3.2776997629340388	1.500697144290364e-4	0.4940294999003878	DiagnosisPD
LNC-LBCS	-0.28556469599595036	-0.11371324892395487	-0.45741614306794587	-3.2568624177701135	0.004465172823727756	1	DiagnosisPD
ZNF638	-0.190911105124	-0.07581846648365968	-0.3060037437643403	-3.2511105376693417	0.0010014931053715845	1	DiagnosisPD
METTL15	-0.15667066965286058	-0.06198475651976153	-0.2513565827859596	-3.2430259137041366	0.007500530962854538	1	DiagnosisPD
DYNC2H1	-0.19446573884579266	-0.07392823853836303	-0.31500323915322226	-3.1620520036720254	0.011856273431975395	1	DiagnosisPD
POGZ	-0.23607863401245788	-0.08845898652945189	-0.38369828149546387	-3.134444689939371	0.0010211390682082083	1	DiagnosisPD
ZNF280D	-0.1725375799066704	-0.06390286113198587	-0.28117229868135496	-3.112885515892547	0.02507470534611888	1	DiagnosisPD
POT1-AS1	-0.24888399594454125	-0.08820424371456523	-0.40956374817451724	-3.0358751591895357	0.01627584485774147	1	DiagnosisPD
RUNX1T1	-0.31054752582025	-0.1094537064995442	-0.5116413451409558	-3.0267562083796022	9.645172003508525e-5	0.3183871278358164	DiagnosisPD
