primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
BMPR2	-0.5530360725016457	-0.3110062569251823	-0.795065888078109	-4.47850105439702	2.7942509644134767e-4	0.7605951125133483	DiagnosisPD
AFF3	-0.7950062899904005	-0.39826372855980197	-1.191748851420999	-3.927442748379193	1.7181175670946174e-5	0.046921790757354004	DiagnosisPD
PACS1	-0.31128626530711423	-0.13818467756870817	-0.4843878530455203	-3.524576965786887	0.0010187343706165215	1	DiagnosisPD
CTNNA1	-0.27810013853253657	-0.11656462549713861	-0.4396356515679345	-3.3742812671782496	0.0013977954036819146	1	DiagnosisPD
FAM228B	-0.21906923922525046	-0.08216907688671135	-0.35596940156378953	-3.136357266986291	0.0170754811849166	1	DiagnosisPD
PITPNC1	-0.37913745160350554	-0.13933529691824573	-0.6189396062887653	-3.0987867949246795	0.012198315744006186	1	DiagnosisPD
AHCTF1	-0.22750199321999587	-0.08295848486183247	-0.3720455015781593	-3.0848546447162835	0.01503209034458934	1	DiagnosisPD
DDX58	-0.42426372443245397	-0.14973555543843514	-0.6987918934264727	-3.0289846862765932	5.624232923650805e-6	0.015382277046184951	DiagnosisPD
NAALADL2	-0.45744708126596567	-0.14819285371182506	-0.7667013088201062	-2.899167494670051	0.013857824740873654	1	DiagnosisPD
B2M	-0.4801047261087016	-0.14665850179560663	-0.8135509504217966	-2.82200817813719	0.0015255485002803261	1	DiagnosisPD
GDI2	-0.25511102120886164	-0.07548119842024184	-0.4347408439974815	-2.7835490001957512	0.0036505068176195606	1	DiagnosisPD
CTNNB1	-0.24001304561339365	-0.07001095741556243	-0.4100151338112249	-2.7671243936403718	0.025919068947585805	1	DiagnosisPD
WARS1	-0.4944493186713985	-0.14416545498716787	-0.8447331823556292	-2.7666214668966975	0.002859392087975576	1	DiagnosisPD
TTC14	-0.193830517357505	-0.052418570715655616	-0.3352424639993544	-2.6864833003652877	0.027922586378593083	1	DiagnosisPD
FAM168A	-0.2274791545694521	-0.06091085225887555	-0.3940474568800287	-2.6766854437792755	0.005658657569332688	1	DiagnosisPD
EGFR	-0.34988075002600605	-0.09132156798813273	-0.6084399320638794	-2.6522116272567153	0.040008041940453196	1	DiagnosisPD
TANC1	-0.28664523514122875	-0.07195839395176676	-0.5013320763306908	-2.6169015953847863	0.013740815357280028	1	DiagnosisPD
KLF9	-0.25585274302223904	-0.06314272400824342	-0.4485627620362347	-2.602159266213093	0.007846582853453937	1	DiagnosisPD
DGLUCY	-0.2100613704877888	-0.051529554852327825	-0.36859318612324976	-2.59703529571573	0.008505193635263709	1	DiagnosisPD
MYH9	-0.29807878511964225	-0.0721481581214243	-0.5240094121178602	-2.5858543002873207	0.0014931385129761865	1	DiagnosisPD
LONP2	-0.2342728630517965	-0.055753834047860606	-0.4127918920557324	-2.5720864419808263	0.06665245121689209	1	DiagnosisPD
SND1	-0.190587765131653	-0.04483934817641802	-0.336336182086888	-2.5629448563187402	0.03733117144391065	1	DiagnosisPD
DDX17	-0.1679227769235514	-0.038758198753841816	-0.297087355093261	-2.548087096461381	0.043247652275635005	1	DiagnosisPD
PDLIM5	-0.3172143687036586	-0.07302765273593845	-0.5614010846713787	-2.5461202325189904	0.004978571375044548	1	DiagnosisPD
KMT2A	-0.20493458071435688	-0.047066558666960495	-0.36280260276175325	-2.544304997160003	0.010644408756405696	1	DiagnosisPD
