primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
XIST	-1.3529473149519706	-0.9018627621470325	-1.8040318677569087	-5.878560890185735	3.544111136767234e-6	0.01919136180559457	DiagnosisPD
RANBP17	-0.5755727092682232	-0.3116293772021501	-0.8395160413342964	-4.274030231487197	2.1251057197826123e-5	0.11492571732584367	DiagnosisPD
TMTC2	-0.43550647106582563	-0.2354935075510252	-0.6355194345806261	-4.267608375594068	5.8046398145119094e-5	0.313392503585498	DiagnosisPD
EPN2	-0.26897146713942965	-0.14108733255926545	-0.3968556017195939	-4.122281393175642	0.0017257073333264614	1	DiagnosisPD
VEZT	-0.23821789675820182	-0.1213056537724095	-0.35513013974399416	-3.9935808790846297	3.308270440433587e-4	1	DiagnosisPD
SLC44A5	-0.38370457644158495	-0.19473941164317082	-0.572669741239999	-3.979818985848411	0.004520363345161346	1	DiagnosisPD
TVP23C	-0.29372244092453426	-0.14267765989116285	-0.44476722195790563	-3.811355822589397	0.0018392028628201281	1	DiagnosisPD
ARL15	-0.3083639345413898	-0.14967985352245278	-0.46704801556032677	-3.808713526595431	6.353865413307778e-4	1	DiagnosisPD
BCAS3	-0.2801101296927466	-0.132002984443233	-0.42821727494226025	-3.7068148533801395	0.004711441545366392	1	DiagnosisPD
GRM8	-0.40029089251088745	-0.1881380693563895	-0.6124437156653855	-3.69806878360223	0.0027073872092140496	1	DiagnosisPD
ZCCHC7	-0.33301370157776733	-0.152544377839189	-0.5134830253163456	-3.6166526694379626	0.0037397692849661626	1	DiagnosisPD
ATG7	-0.28072313935481374	-0.12323324266294619	-0.43821303604668127	-3.4936034267578835	0.013824379743738178	1	DiagnosisPD
PAPSS2	-0.2516303280806915	-0.1066320647929409	-0.39662859136844214	-3.4013261212475308	0.004938085498688499	1	DiagnosisPD
XKR4	-0.3767391608175146	-0.1573514632856341	-0.596126858349395	-3.365709176381103	0.005935793164228944	1	DiagnosisPD
PUS7L	-0.1811780258192457	-0.07510752325207275	-0.2872485283864186	-3.347796011156902	0.007533653386791661	1	DiagnosisPD
ADAMTSL1	-0.9535760573376724	-0.38793074217893553	-1.5192213724964092	-3.3041460413705526	2.0166460802902418e-4	1	DiagnosisPD
RALGAPA1	-0.21241304362514124	-0.08464308972644863	-0.34018299752383385	-3.2583710226733675	0.0775511937932387	1	DiagnosisPD
