primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
CACNA1E	-0.3280240134144363	-0.20865236139885107	-0.44739566543002157	-5.3858285572913	5.4579748234467265e-5	0.21886479042021373	DiagnosisPD
CSMD2	-0.25746669472302663	-0.15258777650602603	-0.3623456129400272	-4.811505090390057	1.2943348782121287e-4	0.5182516852361363	DiagnosisPD
DIAPH2	-0.2556175084815273	-0.14927714775288192	-0.3619578692101727	-4.711297827172954	3.9497668593802126e-5	0.15862263707270935	DiagnosisPD
PPP1R9A	-0.2298510523060875	-0.1266151477046406	-0.33308695690753437	-4.363789769342028	7.587671065095415e-4	1	DiagnosisPD
C1orf21	-0.22152821899854946	-0.11585833322860702	-0.3271981047684919	-4.108903190656823	0.0014161824649024418	1	DiagnosisPD
RABGAP1L	-0.22296060970833942	-0.11511333047361876	-0.33080788894306007	-4.051977649323483	0.0015902600444995883	1	DiagnosisPD
MAGI3	-0.4467132149155736	-0.22183476070264452	-0.6715916691285027	-3.893400173515987	9.433874397268463e-9	3.804681544418371e-5	DiagnosisPD
EPB41L3	-0.23579117545990225	-0.11659348334518863	-0.3549888675746159	-3.877107044396597	0.003078323179169114	1	DiagnosisPD
DLGAP1	-0.328740503994962	-0.15863509931719433	-0.4988459086727297	-3.7877664693265447	0.00539282357864735	1	DiagnosisPD
SLC35F1	-0.35437566020627953	-0.16755589566379736	-0.5411954247487617	-3.7178268193565267	2.6384184365252357e-5	0.10601165277958396	DiagnosisPD
APBA1	-0.18841966867846227	-0.08566002748553639	-0.2911793098713882	-3.5937821532037275	0.00270411159267524	1	DiagnosisPD
FCHSD2	-0.2226626226874	-0.099782279239429	-0.345542966135371	-3.5515096143535483	1.68593033311647e-4	0.6742035402132764	DiagnosisPD
SPTAN1	-0.31393019031924674	-0.13676606385712547	-0.491094316781368	-3.4730048287573685	1.3130769662071965e-4	0.52549340187612	DiagnosisPD
SOX2-OT	-0.3796583396515554	-0.15946874949731152	-0.5998479298057993	-3.3794362014392516	0.0013054699172222383	1	DiagnosisPD
SOX5	-0.4506668082756551	-0.18257715351513287	-0.7187564630361774	-3.2947586658534913	0.001053370379630641	1	DiagnosisPD
RPH3A	-0.2562198944419558	-0.10125772163308094	-0.4111820672508307	-3.240673230932698	9.334500799727404e-4	1	DiagnosisPD
BPTF	-0.2848939285717409	-0.11051021589961854	-0.4592776412438633	-3.20202977020344	0.008469665109495476	1	DiagnosisPD
DNM1	-0.44088577422298914	-0.16878455266050196	-0.7129869957854763	-3.175730832118568	2.01102955518904e-6	0.008100427048301453	DiagnosisPD
PRH1	-0.2155144710871535	-0.08228091332245582	-0.3487480288518512	-3.1703769573129366	0.0081415701577231	1	DiagnosisPD
LUC7L3	-0.25640454840452986	-0.09279742826676052	-0.4200116685422992	-3.071649204031929	0.011774739891660998	1	DiagnosisPD
GRM7	-0.29721787825652335	-0.10693748490094529	-0.4874982716121014	-3.0614627533148258	0.002097185837345494	1	DiagnosisPD
XIST	-0.6568429718366886	-0.23578410496451047	-1.0779018387088668	-3.0575025716985604	0.009111809722905794	1	DiagnosisPD
MCTP1	-0.2967640776280771	-0.10570692466406581	-0.4878212305920884	-3.0443607843661438	0.007018523095812298	1	DiagnosisPD
MAGI2	-0.3684955176403344	-0.1305859879269071	-0.6064050473537617	-3.035767183893253	0.022293802449812813	1	DiagnosisPD
GPHN	-0.2189722157187628	-0.07671231694188008	-0.3612321144956455	-3.0168561914754575	0.01492829377239382	1	DiagnosisPD
CASK	-0.1469217058988599	-0.05095717016691184	-0.24288624163080794	-3.0007048949134307	0.01172496168634801	1	DiagnosisPD
PARP8	-0.1890602502212011	-0.06546779117242198	-0.31265270926998023	-2.9981706343057444	0.004342880069557329	1	DiagnosisPD
PANTR1	-0.426106987118396	-0.14540563665681822	-0.7068083375799739	-2.9752416471799057	0.0016675834881188156	1	DiagnosisPD
TMEM108	-0.6856072255611442	-0.2324632293039432	-1.138751221818345	-2.9654270623450136	1.7890346776710759e-6	0.007208020716336765	DiagnosisPD
PROX1	-0.3821002543995822	-0.12421397730202383	-0.6399865314971405	-2.9040038327571165	1.3055301992727461e-4	0.5226037387688803	DiagnosisPD
PRKDC	-0.14109058535691754	-0.04561893493902218	-0.2365622357748129	-2.8964877494712185	0.0049607294832319385	1	DiagnosisPD
GNAL	-0.32077780248047216	-0.10362545853184443	-0.5379301464290999	-2.8952620472306054	1.3194515994532474e-4	0.5279125849412443	DiagnosisPD
NRG1	-0.4748522902534362	-0.14664008528535544	-0.803064495221517	-2.8356452709112583	7.497799917783095e-4	1	DiagnosisPD
GMDS	-0.24833525755809982	-0.07543738605506234	-0.4212331290611373	-2.815119449847032	4.618911562913189e-5	0.18535692101970627	DiagnosisPD
AK5	-0.26418371334475643	-0.07767005138266264	-0.4506973753068502	-2.7761535429131707	0.010915348362207087	1	DiagnosisPD
DNER	-0.2032004862718335	-0.058521837752504635	-0.3478791347911624	-2.7527602642805413	0.03505748183887232	1	DiagnosisPD
BTBD11	-0.42760879148777586	-0.12190344511297618	-0.7333141378625756	-2.7415216669492484	1.4584888733874858e-4	0.5833955493549944	DiagnosisPD
KIAA1958	-0.19098505276912603	-0.05210746789097612	-0.32986263764727597	-2.695350911678061	0.0101875860817531	1	DiagnosisPD
DOK6	-0.26831277857217284	-0.07309980953659626	-0.46352574760774945	-2.6938957242000114	0.008371081385676054	1	DiagnosisPD
EPHA6	-0.4649944645875035	-0.12666142136503084	-0.8033275078099762	-2.6937138475201032	0.006809459439642311	1	DiagnosisPD
EML6	-0.2676297937689016	-0.07220119842253239	-0.46305838911527086	-2.6840737203644567	1.0808329298092029e-4	0.43287358838858575	DiagnosisPD
PACS1	-0.13085559489352394	-0.035256634215451305	-0.22645455557159658	-2.682793320635931	0.026112154396108516	1	DiagnosisPD
SCN2A	-0.14529385687637575	-0.03838551631169436	-0.25220219744105715	-2.6636904580922054	0.011315382346711466	1	DiagnosisPD
LRRC8B	-0.17018720898957174	-0.04454988081123354	-0.2958245371679099	-2.6549498073969935	0.02842258081495962	1	DiagnosisPD
ADCY2	-0.48270262432881483	-0.12351364628309924	-0.8418916023745304	-2.6339331570665085	5.4379793104631024e-5	0.21811735014267503	DiagnosisPD
INPP4B	-0.603261947697272	-0.1488405674832221	-1.057683327911322	-2.60192795104226	0.045890672350206774	1	DiagnosisPD
SAMD12	-0.2195977377926439	-0.053000655246100314	-0.3861948203391875	-2.5835005666429174	0.04172157837431156	1	DiagnosisPD
BRAF	-0.2637813223635267	-0.06247582578279651	-0.46508681894425685	-2.568245280970394	0.0021790426226003068	1	DiagnosisPD
NLGN4X	-0.19252175682604067	-0.045138230192267204	-0.33990528345981413	-2.560229886186955	0.001302795166354561	1	DiagnosisPD
LGI1	-0.16482204391753263	-0.037984405854969566	-0.29165968198009573	-2.546919627889159	0.01700889045022213	1	DiagnosisPD
GLRA2	-0.1514866741735581	-0.03310050205930444	-0.2698728462878118	-2.5079654170369117	0.009246632857127136	1	DiagnosisPD
KIAA1549L	-0.2305144855071748	-0.0497611772727167	-0.4112677937416329	-2.4995398088249945	0.031601508448390485	1	DiagnosisPD
SUSD4	-0.26808246144847403	-0.05775745498344215	-0.4784074679135059	-2.4981906724116207	0.013399070866390347	1	DiagnosisPD
PAK1	-0.11823947175544713	-0.02526868955073369	-0.21121025396016058	-2.49266598275397	0.04273697914317316	1	DiagnosisPD
PRELID2	-0.4904173164463077	-0.10221246509145909	-0.8786221678011563	-2.4760130489738157	2.3793634761124333e-5	0.09562661810495869	DiagnosisPD
COBL	-0.29621119060930123	-0.059682728965632065	-0.5327396522529704	-2.45451757212449	0.010513747141069207	1	DiagnosisPD
NUMA1	-0.18020824785984646	-0.03618024930263025	-0.32423624641706267	-2.452312599359313	0.0036114641758643725	1	DiagnosisPD
PTPRO	-0.6473691571029077	-0.12838592395299375	-1.1663523902528214	-2.4448193151111655	1.2642620730466573e-5	0.05088654844012796	DiagnosisPD
PID1	-0.18934377177417305	-0.0375066951814208	-0.3411808483669253	-2.444113003898977	0.039643409856564976	1	DiagnosisPD
NSD1	-0.22900182387776913	-0.04510531521501168	-0.41289833254052655	-2.44069520654967	0.0010739134098599532	1	DiagnosisPD
IL1RAPL2	-0.7887702905733804	-0.14671736618587472	-1.4308232149608862	-2.407841009483459	0.001017167366223537	1	DiagnosisPD
ZNF385B	-0.36538149176607404	-0.06719616019727986	-0.6635668233348682	-2.4016424976753235	0.04683249783035146	1	DiagnosisPD
PPP6R3	-0.1364688316496948	-0.024955053947934375	-0.24798260935145525	-2.3985735265915853	0.08074330229326097	1	DiagnosisPD
NFIX	-0.4406958028636334	-0.07956134183953811	-0.8018302638877287	-2.3917626119127267	0.005179664184236875	1	DiagnosisPD
TMEM117	-0.1763105522228523	-0.031019790077875364	-0.32160131436782924	-2.3784191599624407	0.003480000183469873	1	DiagnosisPD
AC132803.1	-0.7331994357836595	-0.1240854299112778	-1.3423134416560414	-2.3592373082324793	8.984315549976136e-4	1	DiagnosisPD
FRMPD4	-0.23745682282805802	-0.038908061064374305	-0.43600558459174177	-2.344042926745812	0.044077076486288586	1	DiagnosisPD
CDR2	-0.3429362488603017	-0.056111502793164125	-0.6297609949274393	-2.3433915865896964	5.480944404029715e-4	1	DiagnosisPD
WASF1	-0.1710445166699205	-0.02779696417329558	-0.3142920691665454	-2.3402919392567187	0.020712982004443273	1	DiagnosisPD
PDE1C	-0.5892160240491902	-0.09394588337656484	-1.0844861647218154	-2.3317419957559125	4.258086351103638e-4	1	DiagnosisPD
KCNB2	-0.3496745373417829	-0.05546085584872251	-0.6438882188348433	-2.3294277003796164	1.684482132363985e-5	0.06776671618500311	DiagnosisPD
PCDH10	-0.3097252171080229	-0.04665308438963889	-0.572797349826407	-2.3075430467027638	0.0017785387210400797	1	DiagnosisPD
OSBPL9	-0.1361359091155976	-0.020025434619782886	-0.2522463836114123	-2.2979966280200417	0.03754699937917901	1	DiagnosisPD
PCGF5	-0.2177877262918395	-0.031831535714650694	-0.40374391686902833	-2.295465929270519	0.020809793200502837	1	DiagnosisPD
GLG1	-0.2058764761409777	-0.02942474578513321	-0.3823282064968222	-2.2868037490286404	0.008512025622609403	1	DiagnosisPD
PDE10A	-0.8231993534701935	-0.11478556704649345	-1.5316131398938935	-2.277540493732349	0.0012095504039757246	1	DiagnosisPD
THSD7A	-0.6989481802629569	-0.09577731569248349	-1.3021190448334303	-2.271186061599211	3.453487685000275e-4	1	DiagnosisPD
PEX5L	-0.32903012406792476	-0.045053764910051086	-0.6130064832257984	-2.2709185895413206	0.02072825265424969	1	DiagnosisPD
ATRX	-0.4576375732464645	-0.06214841391472625	-0.8531267325782027	-2.2679589070177584	9.0730873024286e-6	0.03653732256687997	DiagnosisPD
ZMAT4	-0.41979884519959887	-0.05519414213108481	-0.7844035482681129	-2.256664849405702	0.009328859491186923	1	DiagnosisPD
EVL	-0.12192029188173614	-0.015651739193642905	-0.22818884456982938	-2.248636826495407	0.016342829903527655	1	DiagnosisPD
SPOCK3	-0.1764189747732532	-0.0224584884894192	-0.33037946105708715	-2.245867398129693	0.111373109220035	1	DiagnosisPD
ITSN2	-0.18942938384184105	-0.024066381134472625	-0.35479238654920947	-2.2452106206648987	0.013095937064302203	1	DiagnosisPD
ANKRD44	-0.2180363854811963	-0.027441919065934156	-0.4086308518964584	-2.2421609131681297	0.009640311757542833	1	DiagnosisPD
SENP6	-0.11556732974322759	-0.014290740732134363	-0.2168439187543208	-2.236526785685686	0.0434944868660717	1	DiagnosisPD
MIRLET7BHG	-0.10765428755692819	-0.013182626168176462	-0.20212594894567992	-2.233458407433282	0.031613179514595253	1	DiagnosisPD
SORBS1	-0.37764433612492754	-0.046187865663322114	-0.709100806586533	-2.2330814563360124	5.610360425588892e-5	0.22491934946185868	DiagnosisPD
MAPK4	-0.12273502865130337	-0.014120701203459138	-0.23134935609914759	-2.214774435845579	0.039213315310928705	1	DiagnosisPD
BCL2	-0.15517486006892756	-0.017599221303432305	-0.29275049883442283	-2.210690350197522	0.046376107103028724	1	DiagnosisPD
ERC1	-0.2119177635082763	-0.023240425336434195	-0.40059510168011836	-2.2013835269512207	0.05278516365786892	1	DiagnosisPD
BCL9	-0.1677757611952816	-0.018382135404055477	-0.3171693869865077	-2.2011277099672415	0.02681253928304361	1	DiagnosisPD
MRTFA	-0.12604326926052412	-0.0136482684955717	-0.23843827002547652	-2.1979649144799427	0.016010095333095574	1	DiagnosisPD
TNRC18	-0.20098316028326257	-0.021746135253649795	-0.3802201853128754	-2.1977588368762193	0.03018701038473082	1	DiagnosisPD
RIMS2	-0.15003483912487425	-0.015974636060892944	-0.28409504218885556	-2.1935136184350745	0.15228005182374418	1	DiagnosisPD
GOLM2	-0.21422804015779018	-0.022223463022789908	-0.4062326172927905	-2.1868189261584523	0.012688527448248372	1	DiagnosisPD
AC006148.1	-0.16593998525642006	-0.017155135540354916	-0.3147248349724852	-2.1859510247068736	0.0792651654472179	1	DiagnosisPD
MGAT4C	-0.27852271876218326	-0.028582313245034824	-0.5284631242793317	-2.184098631513997	0.05707763069413743	1	DiagnosisPD
ESRRG	-0.25002436685036566	-0.025152698360537185	-0.47489603534019414	-2.179192948471908	0.06349015011787988	1	DiagnosisPD
UBE2H	-0.12930401882078246	-0.012250073856805793	-0.24635796378475913	-2.1650805534406916	0.0461412196935512	1	DiagnosisPD
DOCK10	-0.33394250979188067	-0.030427840001610695	-0.6374571795821506	-2.1564535663178104	1.0756801092150782e-5	0.04330688119699905	DiagnosisPD
AHCTF1	-0.17909586734471294	-0.015501363056481476	-0.3426903716329444	-2.1456799621896097	0.00718804548495419	1	DiagnosisPD
PRICKLE2	-0.2920373882392815	-0.0236899071622923	-0.5603848693162707	-2.132991004018091	0.03949933759277633	1	DiagnosisPD
CEP295	-0.11940811991869216	-0.009562816622633252	-0.22925342321475106	-2.130592819899595	0.0479584585982046	1	DiagnosisPD
CLASP1	-0.12229458215231825	-0.009290424212094986	-0.23529874009254154	-2.121098735585561	0.1606183107250678	1	DiagnosisPD
EML5	-0.13105722505637474	-0.009871170392060341	-0.25224327972068916	-2.119612208977164	0.007105137156527143	1	DiagnosisPD
KCNH7	-0.6444441208411633	-0.04793463243663232	-1.2409536092456943	-2.1174638315906864	0.03695389591367247	1	DiagnosisPD
LINC01122	-0.22471504350731486	-0.016572858035585364	-0.43285722897904433	-2.116021752440518	0.0012870147911128703	1	DiagnosisPD
CACNA2D3	-0.6076562475391892	-0.04456116714648806	-1.1707513279318904	-2.115067955001448	0.008913281219532762	1	DiagnosisPD
FAT4	-0.2616388679138629	-0.017428269403907987	-0.5058494664238179	-2.099838259255975	0.011495162450278958	1	DiagnosisPD
COMMD1	-0.10860929163960797	-0.007181378832642735	-0.2100372044465732	-2.0987348956412775	0.0915435419532236	1	DiagnosisPD
PRKAR2B	-0.11236007562393402	-0.007252827148666222	-0.21746732409920183	-2.0952094619328427	0.09343012880973518	1	DiagnosisPD
RNF130	-0.26433685498879333	-0.01648769977931805	-0.5121860101982686	-2.090346909299512	0.03491987045315237	1	DiagnosisPD
SORBS2	-0.2528002910647429	-0.015411761336793145	-0.49018882079269266	-2.0872089579726727	0.033903558774179485	1	DiagnosisPD
