primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
TRA2B	-0.30034362306035556	-0.11801970258171182	-0.4826675435389993	-3.2286640317912787	1.392197674336543e-4	0.2909693139363375	DiagnosisPD
MGAT5	-0.21937152793976278	-0.08523478410023624	-0.35350827177928934	-3.205387887675556	0.015456304524798976	1	DiagnosisPD
NCKAP5	-0.4173507608638021	-0.11471185513757914	-0.719989666590025	-2.7028661706615584	3.904197297166027e-4	0.815586815377983	DiagnosisPD
OGT	-0.22249201934276486	-0.060889958875859546	-0.38409407980967014	-2.6984578259675884	0.00867657696816975	1	DiagnosisPD
SCFD1	-0.23031828548134126	-0.05847457084078059	-0.40216200012190195	-2.62689587145304	0.04217759409168463	1	DiagnosisPD
TENT2	-0.1394340641169829	-0.03386220798459984	-0.24500592024936596	-2.5886230847797664	0.0525465685218491	1	DiagnosisPD
RIF1	-0.22324129642939972	-0.04540604896449782	-0.4010765438943016	-2.4603947029680304	0.0057516945863498115	1	DiagnosisPD
SGMS1	-0.11891626267707478	-0.021664048424701127	-0.21616847692944843	-2.3965684875651303	0.043669979732107365	1	DiagnosisPD
PRKCA	-0.26462712252583254	-0.032413628024455576	-0.4968406170272095	-2.233546463769461	0.01688452042885761	1	DiagnosisPD
UBE2K	-0.1342286266531877	-0.016118152776430583	-0.2523391005299448	-2.227433904033239	0.04132168630895381	1	DiagnosisPD
DPYSL2	-0.19244409492107595	-0.022569712710804962	-0.3623184771313469	-2.2203671334965476	0.037060892055672846	1	DiagnosisPD
CYRIB	-0.1830500906807777	-0.019057708660614014	-0.3470424727009414	-2.187733239078157	0.07625209258791409	1	DiagnosisPD
KDM2A	-0.24399379737874005	-0.02534391626186394	-0.46264367849561616	-2.1871452793421318	0.010838927459606096	1	DiagnosisPD
SH3RF3	-0.5351609227122016	-0.03770692736825487	-1.0326149180561484	-2.1085289177824706	0.09229323387467503	1	DiagnosisPD
UBR2	-0.16067641423927026	-0.0060749567514134795	-0.31527787172712707	-2.0369794062177182	0.12827598613327254	1	DiagnosisPD
FCHSD2	-0.17091110066933624	-0.005894397494580955	-0.3359278038440915	-2.029973908248851	0.14554163855962496	1	DiagnosisPD
MAPK1	-0.12375245237453814	-0.0031287376636272013	-0.24437616708544907	-2.01080152633256	0.05902491682185732	1	DiagnosisPD
UBE3A	-0.14540533021595992	-0.0035778509208592435	-0.28723280951106056	-2.0094075689694626	0.03745835086920836	1	DiagnosisPD
WDR11	-0.1725156336485072	-0.0030374214093434604	-0.3419938458876709	-1.9950908394291236	0.1442455361864792	1	DiagnosisPD
FRYL	-0.18506009762488929	-0.0012016996249947232	-0.36891849562478385	-1.9727743212494286	0.034848552769235076	1	DiagnosisPD
FRS2	-0.2262524720059288	-3.558964582706936e-4	-0.45214904755358687	-1.963051876593064	0.014843920556938867	1	DiagnosisPD
SCAPER	-0.1645900968245695	0.0015502618890173292	-0.3307304555381563	-1.9416754874367277	0.007241422263148136	1	DiagnosisPD
AL008633.1	-0.12143434830662514	0.0022117199787945463	-0.24508041659204483	-1.924905113987708	0.04937405319009825	1	DiagnosisPD
ATP9B	-0.16437846287648372	0.0033205021435711024	-0.33207742789653855	-1.9211559655924764	0.022226567616350463	1	DiagnosisPD
UBL3	-0.18858908092159843	0.0040693148819387626	-0.3812474767251356	-1.9185657855304135	0.003045725843992011	1	DiagnosisPD
GAREM1	-0.22000488921629158	0.0056627021776562425	-0.4456724806102394	-1.9107823884817707	0.16736429331208816	1	DiagnosisPD
SMAD3	-0.15053451422883513	0.00496331266891431	-0.30603234112658456	-1.897404177312135	0.022637306392772685	1	DiagnosisPD
GAS6	-0.2755898149026266	0.014928473270776677	-0.5661081030760298	-1.8592499464020242	0.096551272022552	1	DiagnosisPD
PPP3CB	-0.13869654079575877	0.007856668202163047	-0.28524974979368056	-1.8548909750849076	0.13504603887365133	1	DiagnosisPD
GAB2	-0.21756427995392613	0.014075081987365401	-0.44920364189521766	-1.8408708669304636	0.1807431496021402	1	DiagnosisPD
CUL3	-0.1475518760578054	0.010981725285691413	-0.3060854774013022	-1.8241960093873784	0.048150479987866694	1	DiagnosisPD
USP25	-0.16970129296451808	0.013522043184662602	-0.35292462911369876	-1.8153169204905515	0.0011251906673620496	1	DiagnosisPD
RAB28	-0.14062035936125672	0.01187706647394704	-0.2931177851964605	-1.8073147027345997	0.1404257007572786	1	DiagnosisPD
CLTC	-0.13771342277604748	0.012002791061918372	-0.28742963661401333	-1.8028331194703568	0.11421577531151242	1	DiagnosisPD
MYO5A	-0.1894931872138037	0.016984517319875797	-0.39597089174748323	-1.79874056181296	0.2882012806849581	1	DiagnosisPD
GMDS	-0.16470186272293974	0.015613425300333106	-0.3450171507462126	-1.7902515236642478	0.12872936742059027	1	DiagnosisPD
JAK2	-0.14271728586734755	0.014691561470372927	-0.30012613320506804	-1.7770331528517447	0.17674434803495828	1	DiagnosisPD
BIRC6	-0.15743875631817605	0.01650460431736761	-0.3313821169537197	-1.7739929309572549	0.14565297438246455	1	DiagnosisPD
DCTN4	-0.20081937480301137	0.022731287025655605	-0.4243700366316784	-1.7606690975194401	0.0015176541091201476	1	DiagnosisPD
PPP3R1	-0.1396322987680052	0.01775453640444155	-0.297019133940452	-1.7388638405745007	0.1512613872974757	1	DiagnosisPD
GNB1	-0.2157195941920358	0.027990748461731357	-0.4594299368458029	-1.734857170081823	0.07074629979095835	1	DiagnosisPD
ROCK2	-0.1341864897621734	0.018055319631486738	-0.28642829915583357	-1.7275194520688921	0.2443782429306724	1	DiagnosisPD
DTNB	-0.3027802064697711	0.04142854079676361	-0.6469889537363058	-1.7240651338033242	0.0014791345661117241	1	DiagnosisPD
RABGAP1L	-0.14613492688140894	0.021826767406308567	-0.31409662116912646	-1.7052649700015594	0.2226521579682104	1	DiagnosisPD
RNPC3	-0.09230391045986652	0.014168335772938384	-0.19877615669267143	-1.6991502155216847	0.23665930696961168	1	DiagnosisPD
ERICH1	-0.12012561326505689	0.018560840291883846	-0.25881206682199764	-1.6976558963174628	0.17918417367887352	1	DiagnosisPD
ACIN1	-0.11940105665278755	0.019142700501214194	-0.2579448138067893	-1.6891542106466584	0.11702934700847184	1	DiagnosisPD
TCF12	-0.15124132690302217	0.024825538590550644	-0.327308192396595	-1.6836078320187566	0.26658719288315796	1	DiagnosisPD
SLC9A9	-0.228398888289854	0.03790732660369889	-0.4947051031834069	-1.6809731434019877	0.2541293973725585	1	DiagnosisPD
EIF3A	-0.16667002484055793	0.027735231215958694	-0.3610752808970745	-1.6803416359016672	0.262744607551133	1	DiagnosisPD
KAT6A	-0.15963501160432902	0.02751315322996986	-0.3467831764386279	-1.6718244268819926	0.07344045817561416	1	DiagnosisPD
DMXL1	-0.12261799975050969	0.021270350714924474	-0.2665063502159438	-1.6702315551603548	0.18330303900627148	1	DiagnosisPD
SCFD2	-0.15942200537215445	0.02768496013713692	-0.34652897088144585	-1.6699612867007747	0.2046991938948675	1	DiagnosisPD
TPM3	-0.15456425215829128	0.027443474388958555	-0.3365719787055411	-1.6644368526243516	0.26864537883793643	1	DiagnosisPD
