primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
XIST	-2.8266334673746147	-1.8798793250503296	-3.7733876096989	-5.851677374179584	2.4219031568603924e-6	0.003935592629898138	DiagnosisPD
KIF6	-0.35258498712203323	-0.22486855084051766	-0.4803014234035488	-5.410845278562788	1.4939697042253868e-6	0.002438158557295831	DiagnosisPD
DPYD	-0.19233255568992114	-0.12067280647363245	-0.26399230490620984	-5.260482855849895	4.6029798707188156e-4	0.6651305913188689	DiagnosisPD
SPTLC2	-0.16006814941200798	-0.0990948338212017	-0.22104146500281424	-5.145329639361395	5.043996488445451e-4	0.726335494336145	DiagnosisPD
TPT1-AS1	-0.3531527032175322	-0.2147851639707869	-0.49152024246427756	-5.002376880570322	5.972098586378128e-8	9.85993476611029e-5	DiagnosisPD
NALCN	-0.2187202689164911	-0.1255931795427741	-0.3118473582902081	-4.603213228805411	3.7032322927690295e-4	0.5388202985978938	DiagnosisPD
STOX2	-0.15241202125365794	-0.08503265130803597	-0.2197913911992799	-4.433435229643795	9.314922287014917e-4	1	DiagnosisPD
VPS35L	-0.14393540050271625	-0.07960776606628214	-0.20826303493915035	-4.385490055046867	2.546495524047338e-5	0.04013276945898605	DiagnosisPD
JMJD1C	-0.2952589360571445	-0.16298910274033312	-0.42752876937395584	-4.375123686740642	7.319912114585228e-5	0.11338543865492517	DiagnosisPD
BAZ2B	-0.47107808716445365	-0.25955014419397804	-0.6826060301349293	-4.364889441000331	1.2140587369029506e-6	0.0019862000935732273	DiagnosisPD
AIG1	-0.16483107663534635	-0.08893289038334251	-0.2407292628873502	-4.256530882906454	1.277847593979794e-4	0.19436061904432667	DiagnosisPD
FAM124A	-0.16484774609593322	-0.08873154988342244	-0.240963942308444	-4.244768674180371	8.387405841907997e-6	0.013470173782104243	DiagnosisPD
USP40	-0.20822418180908442	-0.11109140038922548	-0.30535696322894335	-4.20158767298191	6.814089749327079e-5	0.10561839111456972	DiagnosisPD
BRAF	-0.15957559936460686	-0.0844476261578124	-0.23470357257140131	-4.163062228567299	4.0291519179128296e-5	0.06329797663041055	DiagnosisPD
ANKIB1	-0.2346994411772294	-0.12374500903770379	-0.345653873316755	-4.145868200385106	1.3723974706212007e-6	0.002241125069524421	DiagnosisPD
