primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
TMEM132D	-0.21267101114202802	-0.1072980872351264	-0.31804393504892964	-3.9557365112347465	3.31893590883124e-5	0.10969083178687249	DiagnosismitoPD
CDH4	-0.27715728112026916	-0.11536470652555045	-0.4389498557149879	-3.3574982684434174	0.0017838201409432965	1	DiagnosismitoPD
LHFPL3	-0.29840222997756705	-0.12180060949364588	-0.4750038504614882	-3.31173418488376	0.006076625513262333	1	DiagnosismitoPD
NAV2	-0.2972477428027043	-0.10538633256265634	-0.4891091530427522	-3.0365401236768252	0.015564274922384227	1	DiagnosismitoPD
XKR6	-0.18623315430182008	-0.058812877998173946	-0.31365343060546624	-2.864616886319004	0.0038389733041928036	1	DiagnosismitoPD
LDLRAD3	-0.2624101749413139	-0.07108409821114878	-0.453736251671479	-2.6881567889315403	0.0019228092642073807	1	DiagnosismitoPD
EPC2	-0.16755286945681913	-0.04496518854133341	-0.29014055037230485	-2.6788792086548256	0.0027851191064402103	1	DiagnosismitoPD
MYT1	-0.20631671672691887	-0.05237436124238687	-0.36025907221145087	-2.626784116174866	0.001848143358979546	1	DiagnosismitoPD
CAMTA1	-0.17825675593707135	-0.04303560791571312	-0.31347790395842956	-2.58374393909466	0.012762098529712034	1	DiagnosismitoPD
MMP16	-0.2682671515874979	-0.06362649590692732	-0.4729078072680685	-2.569352378187107	0.005073562093312162	1	DiagnosismitoPD
ZNF33A	-0.14589052982829465	-0.03224563913480408	-0.25953542052178524	-2.5160848182794915	0.0015757447676898032	1	DiagnosismitoPD
CNN3	-0.17767376288468373	-0.037391852622260996	-0.3179556731471065	-2.4823883250538454	0.01351256067393184	1	DiagnosismitoPD
RBFOX2	-0.18360733370371674	-0.03863794197376447	-0.328576725433669	-2.482343045399977	0.003721683689909064	1	DiagnosismitoPD
UBE2G2	-0.10930484476173674	-0.02192416254549505	-0.19668552697797842	-2.451726784858237	0.013814548105218703	1	DiagnosismitoPD
ARHGEF11	-0.11530650866047365	-0.01891860396427604	-0.21169441335667127	-2.344657297716935	0.004051573355013351	1	DiagnosismitoPD
AL392023.2	-0.33682187194612934	-0.053682027898581286	-0.6199617159936774	-2.3315642503105782	0.002945445631700856	1	DiagnosismitoPD
ZNF91	-0.1536700203629695	-0.023120541725665106	-0.2842194990002739	-2.3070770451081124	0.0396949329659388	1	DiagnosismitoPD
FARP1	-0.1526001679524316	-0.019611123694006666	-0.28558921221085654	-2.2489885154775195	0.017563996968301573	1	DiagnosismitoPD
DDAH1	-0.19305707805948957	-0.02357112612233281	-0.36254302999664634	-2.23254444178027	0.0038192141382137	1	DiagnosismitoPD
FERMT2	-0.11109207935956156	-0.013470654379819647	-0.20871350433930347	-2.230416883973883	0.05916852240800446	1	DiagnosismitoPD
SIPA1L3	-0.14923039189678633	-0.0177141887897648	-0.28074659500380783	-2.2239555781464277	0.036246543824436143	1	DiagnosismitoPD
SHISA9	-0.24068621693120829	-0.027429054753742188	-0.4539433791086744	-2.212053803697332	0.09495521636386636	1	DiagnosismitoPD
AGAP1	-0.19129002138461715	-0.019471102825047354	-0.3631089399441869	-2.18207375333794	0.1096530500933636	1	DiagnosismitoPD
C1GALT1	-0.1329817573503379	-0.012050817021725793	-0.25391269767895003	-2.1552751868070925	0.04819947378294763	1	DiagnosismitoPD
