primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
WDR49	-0.22406698404310532	-0.10015075451162796	-0.3479832135745827	-3.544033098081317	3.7249205145912606e-4	1	DiagnosismitoPD
KIDINS220	-0.2724151472207541	-0.10330975437788276	-0.44152054006362546	-3.1573438813507484	1.6083808658413692e-4	0.5314090380739884	DiagnosismitoPD
PITPNC1	-0.41839286055791014	-0.153675334362052	-0.6831103867537682	-3.097773501688998	0.011469520203946423	1	DiagnosismitoPD
TOP1	-0.30983952471929044	-0.1106356875256922	-0.5090433619128887	-3.0485070869725837	4.589072010782825e-4	1	DiagnosismitoPD
FGF2	-0.38258156154984446	-0.13273317366505158	-0.6324299494346374	-3.001204402937949	0.019351294159573523	1	DiagnosismitoPD
PLSCR4	-0.32134040712931533	-0.11056080154204331	-0.5321200127165874	-2.988029240286839	0.017408239487996774	1	DiagnosismitoPD
ZNF518A	-0.5328883170173337	-0.1688885433916122	-0.8968880906430553	-2.869347688688597	1.3650953801042152e-6	0.004534846852706203	DiagnosismitoPD
ARHGEF11	-0.33077843644405114	-0.10470442534510879	-0.5568524475429935	-2.8677061071344188	5.595328642691652e-5	0.18520537807309367	DiagnosismitoPD
MAP4K4	-0.3914658070702868	-0.09837432338093027	-0.6845572907596433	-2.617813637498502	0.002956258014845468	1	DiagnosismitoPD
ABI1	-0.34200603043472033	-0.08173718942183505	-0.6022748714476056	-2.575488865816156	0.001603296255948152	1	DiagnosismitoPD
SRPK2	-0.17450801696118035	-0.03664458449865643	-0.31237144942370426	-2.4809292946510224	0.002957862046172614	1	DiagnosismitoPD
CDK14	-0.11951046795924047	-0.024989291026085533	-0.2140316448923954	-2.478134747954847	0.061208235930015446	1	DiagnosismitoPD
ATP13A3	-0.31071474161987644	-0.06456064287670712	-0.5568688403630457	-2.4740181299033743	6.02561859771123e-4	1	DiagnosismitoPD
MED13L	-0.38665189876423733	-0.07774489213162583	-0.6955589053968488	-2.453242496481231	5.697258702968775e-4	1	DiagnosismitoPD
SAFB2	-0.23469953994870763	-0.045568478898816656	-0.4238306009985986	-2.4321898419754655	0.01844970518264221	1	DiagnosismitoPD
VPS54	-0.1822178150180105	-0.03474380961153686	-0.3296918204244841	-2.4217173310816236	0.0062766957115592305	1	DiagnosismitoPD
