primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
AFF3	-1.0963322850353805	-0.3937532748411373	-1.7989112952296238	-3.0584059053568535	1.3154574975900118e-7	3.600407170903862e-4	DiagnosismitoPD
CEBPD	-0.2928015603246994	-0.09877208851339675	-0.48683103213600204	-2.957697650239714	0.08609073121048688	1	DiagnosismitoPD
WARS1	-0.3457833468323446	-0.10770131305247554	-0.5838653806122136	-2.846594072998137	0.05468516693698913	1	DiagnosismitoPD
CYTH1	-0.337752461079047	-0.09612829034624285	-0.5793766318118512	-2.739720357433695	1.834209294487808e-4	0.5016562420424154	DiagnosismitoPD
RBMX	-0.30304807349634766	-0.07035155973096302	-0.5357445872617324	-2.552523456522214	0.03861450830594286	1	DiagnosismitoPD
BMPR2	-0.3255795007425615	-0.07458585453406191	-0.5765731469510611	-2.542391431812838	0.0688395027884628	1	DiagnosismitoPD
ACSL3	-0.21979073707613983	-0.04283793055868401	-0.39674354359359565	-2.4344453037101226	0.002082149961144864	1	DiagnosismitoPD
KLF7	-0.22364326920995836	-0.03862875298619872	-0.408657785433718	-2.3691803323485545	0.07129594896089683	1	DiagnosismitoPD
WDPCP	-0.26521894165124493	-0.043923265374376325	-0.48651461792811357	-2.348982060561864	0.05764927141863964	1	DiagnosismitoPD
SNX1	-0.1748921229907383	-0.027101150153702347	-0.32268309582777427	-2.3193721217301335	0.049434403406597285	1	DiagnosismitoPD
ZNF83	-0.2392605409547992	-0.030513147862258783	-0.44800793404733963	-2.2464570035856153	0.004869854563583443	1	DiagnosismitoPD
SUN1	-0.16100146685914463	-0.019089468854534247	-0.30291346486375503	-2.2236109767955687	0.049856003790778106	1	DiagnosismitoPD
FOXO3	-0.26818752202597174	-0.029324183246084573	-0.5070508608058589	-2.200579992555169	0.019744142500920003	1	DiagnosismitoPD
CPEB2	-0.22530756535272722	-0.0236740551082337	-0.4269410755972207	-2.190085928674693	0.06970322947594935	1	DiagnosismitoPD
ZNF280D	-0.2779772801184488	-0.027033383535734534	-0.528921176701163	-2.171104637219101	0.007223667329808333	1	DiagnosismitoPD
HIF1A	-0.2634217281598903	-0.02152408865250871	-0.5053193676672718	-2.1343618771564343	0.1010497430780944	1	DiagnosismitoPD
FAM228B	-0.15963988709431676	-0.010535858448860014	-0.3087439157397735	-2.098457245208949	0.10262110890045086	1	DiagnosismitoPD
WDR33	-0.17882076556465742	-0.011181437755806739	-0.34646009337350814	-2.0906923499135193	0.033934195572972344	1	DiagnosismitoPD
SPRED1	-0.20407791779178264	-0.012707049516054836	-0.39544878606751044	-2.090105837506676	0.1029762177091447	1	DiagnosismitoPD
AHCYL1	-0.2251174088755049	-0.010027404636805154	-0.44020741311420464	-2.051336672992546	0.08542019953013513	1	DiagnosismitoPD
LONP2	-0.200446229709768	-0.008892550765593338	-0.39199990865394263	-2.050951948474364	0.13416673811225863	1	DiagnosismitoPD
DLG1	-0.17670545951553507	0.002563638543403801	-0.35597455757447394	-1.9319355107603828	0.17115353795656882	1	DiagnosismitoPD
UNC13B	-0.18553255421140347	0.004990937537607737	-0.37605604596041464	-1.9086209310771938	0.2910106476885508	1	DiagnosismitoPD
MVB12B	-0.19020319022534515	0.007796239853342685	-0.38820262030403296	-1.8827902809525492	0.09575230430822577	1	DiagnosismitoPD
RPS6KA2	-0.18922263328537792	0.013997581344065813	-0.39244284791482165	-1.8249638549758571	0.03304271150688039	1	DiagnosismitoPD
MTR	-0.1706797856543143	0.012973087701248304	-0.35433265900987687	-1.8215137430701123	0.10723695552105267	1	DiagnosismitoPD
ITSN1	-0.18329598301764571	0.014719100165090149	-0.3813110662003816	-1.814273536394791	0.1798900365443276	1	DiagnosismitoPD
DLGAP4	-0.16331192253117877	0.014406470208739308	-0.34103031527109684	-1.8010824961462186	0.1627516365647409	1	DiagnosismitoPD
