primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
SLC4A10	-8.662118304016627e-229	-8.662118304016627e-229	-8.662118304016627e-229	-Inf	0.02457887445532621	1	DiagnosismitoPD
KCNQ3	-1.3678770565740293e-230	-1.3678770565740293e-230	-1.3678770565740293e-230	-Inf	0.06048176833979279	1	DiagnosismitoPD
TMCO1	-0.8919623948435227	-0.5266872563225609	-1.2572375333644845	-4.786020139602454	1.0651555754022734e-4	0.6169381092729967	DiagnosismitoPD
ATF7	-0.7302525715179152	-0.4219417171237004	-1.0385634259121301	-4.642291114288223	7.646393855096168e-5	0.4431849878413739	DiagnosismitoPD
GPR137C	-1.1393751711964415	-0.6404771610833717	-1.6382731813095113	-4.476133909449884	1.1108204544423109e-4	0.6432761251675423	DiagnosismitoPD
IFRD1	-0.5988329273316069	-0.31413976726343984	-0.8835260873997739	-4.122652507863595	7.818980797071179e-4	1	DiagnosismitoPD
TUBA1A	-0.5623040922244837	-0.2886385361139632	-0.8359696483350043	-4.027162880060772	7.110386979465618e-5	0.4123313409392112	DiagnosismitoPD
TTC3	-6.14242645730814	-3.124210997301836	-9.160641917314445	-3.9887591835424376	0.2641413705844131	1	DiagnosismitoPD
MPP6	-1.0417045604027309	-0.509355142155127	-1.5740539786503347	-3.835269375594309	3.405920397712283e-4	1	DiagnosismitoPD
FTL	-1.0815816083980259	-0.5154567581616639	-1.6477064586343877	-3.744511476427814	0.002025413971774738	1	DiagnosismitoPD
NDUFB8	-0.7529280744807543	-0.3450818632636253	-1.1607742856978833	-3.6183048128053605	9.333336442969417e-5	0.5406801801412183	DiagnosismitoPD
UBQLN1	-1.0845358589153484	-0.4960267669231262	-1.6730449509075707	-3.6119258858355727	0.00233203908148674	1	DiagnosismitoPD
COX4I1	-0.8132249882878204	-0.3677984828756056	-1.2586514937000353	-3.5783494448698927	0.00321493739995647	1	DiagnosismitoPD
ARPP19	-0.7831685164578278	-0.3433959678152381	-1.2229410651004176	-3.490399959753995	0.0011063648608693726	1	DiagnosismitoPD
MAX	-1.514882974463609	-0.6571210590766688	-2.372644889850549	-3.461468756633013	0.002774526181348558	1	DiagnosismitoPD
NUDT21	-0.4470646491517337	-0.18976317483521882	-0.7043661234682486	-3.4054628463595717	0.005645092713328127	1	DiagnosismitoPD
WDR48	-0.4620580011049059	-0.19356106078974866	-0.7305549414200632	-3.372913821182415	0.0052496073671833695	1	DiagnosismitoPD
ZCCHC17	-0.6772046780123906	-0.27960752054145843	-1.0748018354833229	-3.338295443330392	0.004647416540476336	1	DiagnosismitoPD
UBE2D3	-0.7745974359677235	-0.3107155536946277	-1.2384793182408191	-3.272779418705614	0.0033770700301981853	1	DiagnosismitoPD
DHX30	-0.6380368627053032	-0.2286658211856672	-1.0474079042249393	-3.0547575301594407	0.005428691731658352	1	DiagnosismitoPD
BSN	-0.6443609169135782	-0.23069368725569017	-1.0580281465714663	-3.052995498918987	0.01143085337301065	1	DiagnosismitoPD
CEROX1	-0.9755496487004752	-0.3479795042838171	-1.6031197931171333	-3.046738589454288	0.007194666524380448	1	DiagnosismitoPD
CES4A	-0.56466009229569325	-0.19699365992784984	-0.9323265246635366	-3.010101948331729	0.014555785863268464	1	DiagnosismitoPD
MTCH2	-1.0892067497969367	-0.3716107819318538	-1.8068027176620194	-2.974941466952746	0.003213583694664587	1	DiagnosismitoPD
MAT2A	-0.7870308655095704	-0.2634586816742692	-1.3106030493448715	-2.9462072255644913	0.017648029718145587	1	DiagnosismitoPD
SPIRE2	-0.6754934491925961	-0.22445052549877353	-1.1265363728864188	-2.9352923251024	0.01842991865271149	1	DiagnosismitoPD
UMAD1	-0.7487567518390503	-0.24558895749442644	-1.251924546183674	-2.916594192395003	0.015778109657032514	1	DiagnosismitoPD
HSP90AB1	-0.8941793553916203	-0.28922691171770887	-1.4991317990655317	-2.897020006470958	0.0031797728473331247	1	DiagnosismitoPD
ZFYVE16	-0.6547906629513505	-0.20005595948168492	-1.109525366421016	-2.8222304279958323	0.01654641268983881	1	DiagnosismitoPD
PDE7A	-0.7874323576765089	-0.23684002624571987	-1.3380246891072978	-2.8030522279466603	0.01675444842832395	1	DiagnosismitoPD
GAP43	-0.7235289741965376	-0.21533727775186107	-1.2317206706412143	-2.79046419120467	0.0015544204107534611	1	DiagnosismitoPD
ICA1	-0.9964991632367528	-0.2917954034233752	-1.7012029230501304	-2.771522704924355	0.007519251739783949	1	DiagnosismitoPD
ACTR2	-0.7632615586644291	-0.2214600944010332	-1.305063022927825	-2.761094726460402	0.017001354781960284	1	DiagnosismitoPD
HMGB1	-1.0127169805763536	-0.2859531042273613	-1.739480856925346	-2.7311330035185426	0.00593015684023206	1	DiagnosismitoPD
GDI2	-0.4951395828070053	-0.13812900318679516	-0.8521501624272154	-2.7182828885751626	0.014663865090964	1	DiagnosismitoPD
MTPN	-0.6682840485410925	-0.18467514416435765	-1.1518929529178272	-2.70841304766962	0.030653498638682386	1	DiagnosismitoPD
UBE3A	-1.2325864907293544	-0.3378691721751681	-2.127303809283541	-2.700098768138284	0.015200411321157415	1	DiagnosismitoPD
YWHAB	-0.916149570921754	-0.249463694420333	-1.582835447423175	-2.693352636899057	0.010383269954812127	1	DiagnosismitoPD
ZXDC	-0.786206546774227	-0.21367787804047034	-1.3587352155079837	-2.6914573893655493	0.0060886230327177136	1	DiagnosismitoPD
CA5B	-0.6638905027359046	-0.17721729372778028	-1.1505637117440288	-2.673665718506484	0.006423832421906913	1	DiagnosismitoPD
RAPGEF6	-0.9040239714946128	-0.23560418604705868	-1.572443756942167	-2.6508108584845735	0.02712738056079254	1	DiagnosismitoPD
KLHDC2	-0.42493761852249	-0.10198244300104387	-0.7478927940439362	-2.5788793340610012	0.059631343305294154	1	DiagnosismitoPD
ZDHHC23	-0.3991534206458864	-0.09278970906638317	-0.7055171322253896	-2.553586796355564	0.012179952348734495	1	DiagnosismitoPD
METTL25	-0.5808673706397535	-0.13503010312018687	-1.0267046381593201	-2.5535755065572903	0.014191935602667197	1	DiagnosismitoPD
ZMYND11	-0.7060836048319072	-0.15861613372981553	-1.253551075933999	-2.527818562003075	0.016813169673699332	1	DiagnosismitoPD
PUDP	-0.5971549198505229	-0.1340078029303306	-1.0603020367707152	-2.527063417517951	0.04085151732313293	1	DiagnosismitoPD
HS2ST1	-0.613736744778774	-0.13145033422791003	-1.096023155329638	-2.4941650634138792	0.044344263497845184	1	DiagnosismitoPD
JOSD1	-0.4755327950154324	-0.10101208043202897	-0.8500535095988357	-2.488586386295487	0.05080480391946312	1	DiagnosismitoPD
SLC7A14	-0.49153044362920895	-0.09744212548990538	-0.8856187617685125	-2.444583923133964	0.03182565364766196	1	DiagnosismitoPD
PATJ	-0.8802767838534673	-0.1739518147842103	-1.5866017529227243	-2.442658646278685	0.0513156405481859	1	DiagnosismitoPD
GPLD1	-0.7741256232440451	-0.14943849346814997	-1.3988127530199401	-2.4288291990460302	0.019977455895209974	1	DiagnosismitoPD
AL138701.2	-1.0123542560292311	-0.18988833969844554	-1.8348201723600166	-2.4124742946978506	0.04912112895377105	1	DiagnosismitoPD
OCIAD1	-0.5169987233296813	-0.09685625301175949	-0.9371411936476032	-2.4117982574163466	0.04425967105851685	1	DiagnosismitoPD
DCP2	-0.6165630006155345	-0.11430815430497732	-1.1188178469260917	-2.4060320856698794	0.0575574991946872	1	DiagnosismitoPD
FOXRED1	-0.4762109715862941	-0.0838903051231063	-0.8685316380494819	-2.379064966845283	0.07026397594933641	1	DiagnosismitoPD
CAPZA2	-0.5532558707521038	-0.09654907908248989	-1.0099626624217177	-2.374305792443542	0.048825516662727685	1	DiagnosismitoPD
CCDC191	-0.8436823308885566	-0.14655524011222076	-1.5408094216648924	-2.372002185559745	5.2534587702997015e-5	0.30491074702819465	DiagnosismitoPD
COX7C	-0.7191146314123446	-0.12366627710219469	-1.3145629857224943	-2.3670210323393714	0.022443936414140532	1	DiagnosismitoPD
VSTM2L	-0.5081122257974716	-0.08564681090765669	-0.9305776406872865	-2.3573093265569875	0.03362881700300185	1	DiagnosismitoPD
FAM106A	-0.4656159200030425	-0.0767389205375697	-0.8544929194685154	-2.346732861775931	0.04165663711412899	1	DiagnosismitoPD
NDUFS2	-0.42974515349685416	-0.07042987609188284	-0.7890604309018254	-2.3441391901496083	0.051121736543166436	1	DiagnosismitoPD
AC138649.1	-0.4120384886903332	-0.06742242792765724	-0.7566545494530093	-2.3434212447617684	0.015346714022484463	1	DiagnosismitoPD
NDEL1	-0.42475550940070317	-0.06319718720678436	-0.786313831594622	-2.302548301498741	0.038204773360281254	1	DiagnosismitoPD
