primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
DAAM2	-0.4434436945307607	-0.20232432834568062	-0.6845630607158408	-3.6045784467786652	0.0018120519980278469	1	DiagnosismitoPD
SPRED1	-0.2874028832005493	-0.07361216097624002	-0.5011936054248586	-2.634816395517082	0.01272111739312786	1	DiagnosismitoPD
CYP7B1	-0.36042840404872134	-0.08753510247266716	-0.6333217056247755	-2.588655298099599	0.0038321159024898932	1	DiagnosismitoPD
NLK	-0.27137013923350883	-0.055274932116878284	-0.4874653463501394	-2.4613026196838974	0.052064605349683477	1	DiagnosismitoPD
SGK3	-0.3757397003417666	-0.0746498491091544	-0.6768295515743789	-2.4459020362755037	0.0524755863564952	1	DiagnosismitoPD
KCNB1	-0.5444621551322677	-0.10809654793061252	-0.9808277623339229	-2.445486531002337	8.211696769189147e-5	0.2030752611020476	DiagnosismitoPD
TBC1D22A	-0.24100638711834677	-0.046432777868183006	-0.4355799963685105	-2.4276870877630596	0.05376341874848125	1	DiagnosismitoPD
FUS	-0.20795377106916124	-0.03773341724449242	-0.37817412489383007	-2.394436931817583	0.04421740673735287	1	DiagnosismitoPD
FTX	-0.23815582102543376	-0.03616265969900931	-0.4401489823518582	-2.3108546292025083	0.050596713322261504	1	DiagnosismitoPD
TOM1L2	-0.2299821971782965	-0.025160331757918347	-0.43480406259867466	-2.2007260925473613	0.09007885343776573	1	DiagnosismitoPD
EIF3H	-0.24586971777399613	-0.014895940879323083	-0.47684349466866915	-2.0863658126256057	0.11151225955721018	1	DiagnosismitoPD
GNAQ	-0.26302349462428243	-0.012860978341208085	-0.5131860109073567	-2.060726699631207	0.04518286304753655	1	DiagnosismitoPD
HIP1	-0.3627862353268507	-0.008641846707705514	-0.7169306239459959	-2.0077911105692454	0.11015488880019905	1	DiagnosismitoPD
TMTC2	-2.077279525058363	-0.045251158338936115	-4.10930789177779	-2.003610344037593	0.020741470596530486	1	DiagnosismitoPD
FUT8	-0.33078163756341805	0.012403008664501669	-0.6739662837913378	-1.8891290840001942	0.12175998718562471	1	DiagnosismitoPD
HIBCH	-0.19064813186884555	0.012950652584063777	-0.3942469163217549	-1.8352932370733543	0.04840776725276405	1	DiagnosismitoPD
GABPB1-AS1	-0.6733984659812422	0.052902265200618026	-1.3996991971631023	-1.8172042019289638	0.0400874112508348	1	DiagnosismitoPD
LMCD1-AS1	-0.4370999735094765	0.04033173951702479	-0.9145316865359778	-1.7943931715202834	2.802324354722553e-4	0.691613650745526	DiagnosismitoPD
MIR4435-2HG	-0.3962859974274213	0.03954230040163653	-0.8321142952564792	-1.7821382558319347	0.16944167900871737	1	DiagnosismitoPD
RAB3GAP2	-0.24781514883039102	0.026794626658067644	-0.5224249243188497	-1.7687235119982576	0.015262020805001397	1	DiagnosismitoPD
ZSWIM5	-0.23905436346142928	0.03104398226989169	-0.5091527091927502	-1.73469386294437	0.21892678523070347	1	DiagnosismitoPD
OSBPL1A	-0.19791164894655555	0.030733286902709156	-0.42655658479582026	-1.6965156154252552	0.17926768771049875	1	DiagnosismitoPD
DOCK9	-0.19304083357027135	0.030712685008216473	-0.41679435214875915	-1.6909369012251059	0.23346057395693764	1	DiagnosismitoPD
ZBTB16	-0.374793429811902	0.06296992861742579	-0.8125567882412298	-1.6780335994981606	0.1028822317446527	1	DiagnosismitoPD
UBE4B	-0.1580047524428183	0.026676009248491395	-0.342685514134128	-1.6768591451432342	0.24666485574000008	1	DiagnosismitoPD
ARL8B	-0.1702346520627298	0.030462592664568966	-0.3709318967900286	-1.662473181517843	0.19098045822901435	1	DiagnosismitoPD
ZEB2	-0.7553734025702037	0.1363506322094673	-1.6470974373498746	-1.6602722436239823	0.022519735046574	1	DiagnosismitoPD
LAMA2	-0.2868884327800476	0.05783610093292285	-0.6316129664930181	-1.6311313551538988	0.1735857092433143	1	DiagnosismitoPD
PPP2R2B	-0.567335389454029	0.12161160379269198	-1.2562823827007499	-1.6139948956663714	0.29616115236279716	1	DiagnosismitoPD
BRWD3	-0.18984898682601004	0.041848715710158885	-0.421546689362179	-1.6059597165073873	0.025260443333083922	1	DiagnosismitoPD
ITSN2	-0.15716630280766264	0.035592896448345096	-0.34992550206367035	-1.5980575468007623	0.2404573975304398	1	DiagnosismitoPD
YWHAZ	-0.14495804632559173	0.03633257188103345	-0.3262486645322169	-1.5671663149365644	0.2827954572613678	1	DiagnosismitoPD
ZBTB7A	-0.17535699008253625	0.0446754239375074	-0.3953894041025799	-1.5620125177002784	0.18864984357084486	1	DiagnosismitoPD
CACNA1C	-0.24314874332553105	0.06269967388824704	-0.5489971605393091	-1.5581665720084885	0.3077619620165844	1	DiagnosismitoPD
HBS1L	-0.16549054050318324	0.04749178613877178	-0.3784728671451383	-1.5229221329410152	0.1400739490189562	1	DiagnosismitoPD
DENND2B	-0.4082137840238982	0.12005751926403119	-0.9364850873118276	-1.514532986554399	0.057684864425590475	1	DiagnosismitoPD
TRAPPC8	-0.3903317330782292	0.129640936769308	-0.9103044029257664	-1.4713006725540967	0.11716631850322055	1	DiagnosismitoPD
TVP23C	-0.3575488314698819	0.12624778867034442	-0.8413454516101082	-1.448507085874703	0.0705056068551285	1	DiagnosismitoPD
PHF21A	-0.21037555036484124	0.07428449000762827	-0.49503559073731074	-1.448494496815784	0.12130037064612023	1	DiagnosismitoPD
DMD	-0.5535895854242994	0.20177268567934026	-1.308951856527939	-1.4364175855153565	0.041761741828868985	1	DiagnosismitoPD
SLC1A3	-0.23819867694589503	0.08946899641329914	-0.5658663503050891	-1.4247997771426957	0.33673326106440166	1	DiagnosismitoPD
GNAO1	-0.27086526412292233	0.1020497766291501	-0.6437803048749948	-1.4236115584750828	0.04010466507267157	1	DiagnosismitoPD
