primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
NCKAP5	-0.715578890876923	-0.41729342577920725	-1.0138643559746385	-4.701901427736134	4.463900670862e-7	9.32955240210158e-4	DiagnosismitoPD
MGAT5	-0.36264487071959417	-0.19379030214729484	-0.5314994392918935	-4.209367219366966	1.4168863991176906e-6	0.002958458801357738	DiagnosismitoPD
SND1	-0.5341653126705803	-0.24628556748204722	-0.8220450578591134	-3.636743439310979	9.996700632410086e-6	0.020823127417310208	DiagnosismitoPD
MYO5A	-0.4289196549460441	-0.18580242253694235	-0.6720368873551459	-3.4578670858714533	0.009434404012623946	1	DiagnosismitoPD
SCFD1	-0.3390767272725721	-0.1381527069374063	-0.5400007476077379	-3.30760937563042	0.002481648785091113	1	DiagnosismitoPD
ATF2	-0.35524868797748366	-0.1330579400323335	-0.5774394359226338	-3.1336796893219736	5.012257390476109e-4	1	DiagnosismitoPD
SETBP1	-0.5054846320253477	-0.1756861789622834	-0.8352830850884119	-3.004051912028571	3.562004089426931e-5	0.07387596481471455	DiagnosismitoPD
NCK2	-0.5979603943666403	-0.2005948899748628	-0.9953258987584177	-2.9493773973507333	0.006170375022661945	1	DiagnosismitoPD
SH3RF3	-0.7156451818736325	-0.23910042652234498	-1.1921899372249198	-2.943351629477012	9.144254355019926e-4	1	DiagnosismitoPD
TRA2B	-0.3523048543055163	-0.1117339448203882	-0.5928757637906443	-2.870275660075722	0.001617709907228805	1	DiagnosismitoPD
GRB2	-0.3476252449308066	-0.10179650334168755	-0.5934539865199256	-2.771575674092997	0.013352870170096403	1	DiagnosismitoPD
PTPRE	-0.2593964797244497	-0.073077368630105	-0.44571559081879436	-2.728693556931784	0.026946485794187423	1	DiagnosismitoPD
TPM3	-0.34458517279751266	-0.09191416843577555	-0.5972561771592497	-2.6729403715937825	0.0018991829288280732	1	DiagnosismitoPD
EIF3A	-0.34294774670264294	-0.08450691013847678	-0.6013885832668091	-2.60084761004656	0.005890920840367162	1	DiagnosismitoPD
ZMYM4	-0.43661492042344996	-0.10519377840546823	-0.7680360624414317	-2.5820607397953914	5.5974900802725824e-5	0.11570011995923428	DiagnosismitoPD
CUL1	-0.42466048182111704	-0.09545134142238354	-0.7538696222198505	-2.528238581160663	0.003103688378275801	1	DiagnosismitoPD
STT3B	-0.4682212367122114	-0.09839420130077953	-0.8380482721236433	-2.4814215102792625	0.0023523762655876025	1	DiagnosismitoPD
EIF3H	-0.33822682035310736	-0.0627967134393646	-0.6136569272668502	-2.4068261597313154	0.010896372401333525	1	DiagnosismitoPD
KAT6A	-0.2686556283806052	-0.048006034649882734	-0.48930522211132765	-2.3863871533457854	0.022114336441166633	1	DiagnosismitoPD
CLTC	-0.22666914936187554	-0.03854458971974145	-0.41479370900400964	-2.3615383871235114	0.006255687851406579	1	DiagnosismitoPD
OLA1	-0.2451968779560847	-0.03783674451650873	-0.4525570113956606	-2.3175961644316145	0.007167307220804771	1	DiagnosismitoPD
SFPQ	-0.26115556660942607	-0.0384383668319257	-0.48387276638692645	-2.2982306953750387	0.021431970746686447	1	DiagnosismitoPD
SUPT3H	-0.41931538496470777	-0.06122789074493412	-0.7774028791844814	-2.2950900714504563	0.030771269950507635	1	DiagnosismitoPD
PRKCA	-0.624248883791076	-0.08756274033015532	-1.1609350272519967	-2.279740858837599	1.816611180832482e-8	3.800350590301552e-5	DiagnosismitoPD
ARHGAP26	-0.5148972128442497	-0.07059881440137111	-0.9591956112871283	-2.271401374507834	0.023697430638402735	1	DiagnosismitoPD
CHCHD3	-0.19931536425030694	-0.025847715964472245	-0.37278301253614166	-2.2520103278991885	0.018196062464493127	1	DiagnosismitoPD
GAS6	-0.34633287181728223	-0.04228270619289365	-0.6503830374416708	-2.2325261820865525	0.03668674412759981	1	DiagnosismitoPD
GDI2	-0.2913313892086238	-0.02950067572586873	-0.5531621026913789	-2.180794692951601	0.0022995746720239846	1	DiagnosismitoPD
ANKS1A	-0.49950028550225856	-0.05028375351883718	-0.9487168174856799	-2.1793556117120634	0.0013155272248691285	1	DiagnosismitoPD
WDFY3	-0.3796489671508523	-0.038050248533946784	-0.7212476857677578	-2.1782818899212213	0.024104356488274428	1	DiagnosismitoPD
HDLBP	-0.23793109028242965	-0.023222265293835143	-0.45263991527102415	-2.171947835775647	0.04505668208326332	1	DiagnosismitoPD
FAM168A	-0.4028129703986312	-0.03104372634451641	-0.7745822144527459	-2.1236262200646063	0.021409938574016383	1	DiagnosismitoPD
DNAJC3	-0.39192830624546504	-0.016347146745577523	-0.7675094657453525	-2.0452712957853416	0.0023121045452511846	1	DiagnosismitoPD
PPP1R21	-0.21549886857025946	-0.00877278398700393	-0.422224953153515	-2.043138493907558	0.1476455512744975	1	DiagnosismitoPD
TRIM44	-0.23875105277720743	-0.008912566108913084	-0.46858953944550175	-2.0359665236992694	0.007194994119483674	1	DiagnosismitoPD
RELCH	-0.23362264496307117	-0.007216870249736024	-0.4600284196764063	-2.0224394482886736	0.0763000945524641	1	DiagnosismitoPD
UBE3A	-0.20769295205278726	-0.005792875665610847	-0.4095930284399637	-2.01619887000757	0.0012110172640915817	1	DiagnosismitoPD
EIF4G3	-0.23011845093633632	-0.0038113570771398098	-0.4564255447955328	-1.9929727712997987	0.006162384685138543	1	DiagnosismitoPD
GAREM1	-0.2546860324117084	-0.0038860638788714152	-0.5054860009445454	-1.990332988526642	0.06098296195314768	1	DiagnosismitoPD
TASOR2	-0.3638309926674699	-0.0027264506411027734	-0.724935534693837	-1.9747623169902653	1.8601305977293612e-4	0.38151278559429197	DiagnosismitoPD
NAA16	-0.32865099438263157	0.003004188160900312	-0.6603061769261634	-1.9422103026799082	0.004014039192321149	1	DiagnosismitoPD
HIVEP3	-0.3547778003279878	0.010401085337651494	-0.719956685993627	-1.9041399666076753	0.021091508256032426	1	DiagnosismitoPD
FNIP2	-0.28454036836082275	0.010298899353808844	-0.5793796360754544	-1.8915013541369514	0.06967926183524209	1	DiagnosismitoPD
ATP11C	-0.22952232164910846	0.011275971613924601	-0.4703206149121415	-1.8681838562239155	0.04467679236628721	1	DiagnosismitoPD
TAOK3	-0.19420750589913371	0.010215427439997288	-0.3986304392382647	-1.8620206200553007	0.0028005353571291893	1	DiagnosismitoPD
DPYSL2	-0.23594231475540495	0.012432576470796292	-0.4843172059816062	-1.8618566356148	0.006069040983236151	1	DiagnosismitoPD
PIP4K2A	-0.4400872311317796	0.030080732757684636	-0.9102551950212439	-1.8345680465737297	0.05125864182399829	1	DiagnosismitoPD
CEPT1	-0.2863949564954753	0.02240727369207851	-0.5951971866830291	-1.8177452920081631	0.04639357675285248	1	DiagnosismitoPD
ZNF83	-0.20626837713893442	0.016552621877728046	-0.4290893761555969	-1.8143648584557537	0.136380854346847	1	DiagnosismitoPD
RUNX1	-0.35376553389490883	0.03127106729505763	-0.7388021350848752	-1.800783882006886	0.15983193877807456	1	DiagnosismitoPD
CDC27	-0.16746744303333339	0.015316031601061292	-0.3502509176677281	-1.7957321228567067	0.0013826763512306826	1	DiagnosismitoPD
ATP11A	-0.19640930142188795	0.018592241675246146	-0.41141084451902205	-1.7904762517990656	0.1199986519245257	1	DiagnosismitoPD
RAB28	-0.19160126342129824	0.01836126350094533	-0.40156379034354184	-1.7885647558299227	0.044893338396517955	1	DiagnosismitoPD
IKZF1	-0.3675212296772816	0.04354629328358128	-0.7785887526381445	-1.7523358900574746	0.07278622504078058	1	DiagnosismitoPD
ERC2	-0.1917390567910271	0.02294408216049984	-0.406422195742554	-1.7504944616304725	0.018624536644492387	1	DiagnosismitoPD
CCNT2	-0.24124514437887945	0.029452211693609065	-0.511942500451368	-1.7467174459626127	0.0037589676415937154	1	DiagnosismitoPD
PPP2R2A	-0.16882645157027243	0.0213436761277227	-0.35899657926826756	-1.7399881291604034	0.05759583272639502	1	DiagnosismitoPD
BACH1	-0.6411024179293627	0.08168139127241558	-1.363886227131141	-1.7384695583189398	0.007522112764116695	1	DiagnosismitoPD
SMURF1	-0.11418933581827728	0.014700517177231587	-0.24307918881378615	-1.7364205204747305	0.18587456095195995	1	DiagnosismitoPD
MAPK1	-0.1419996726650492	0.018392250158413892	-0.3023915954885123	-1.7352135901899648	0.020167755350251566	1	DiagnosismitoPD
MARCHF1	-0.4524669449362184	0.060362451447337206	-0.965296341319774	-1.7292669307252146	0.0031650228038043134	1	DiagnosismitoPD
MKNK1	-0.32117744128701875	0.043917485865039296	-0.6862723684390768	-1.7241987514855448	0.07766123215189805	1	DiagnosismitoPD
SEC63	-0.13900888508231624	0.0190181708125976	-0.2970359409772301	-1.7240870985635817	0.06492313380009523	1	DiagnosismitoPD
FOXK2	-0.19047150431310755	0.02669108954457136	-0.40763409817078644	-1.7190681042404379	0.12873630093382474	1	DiagnosismitoPD
DTNBP1	-0.39929479745442276	0.05606151785097807	-0.8546511127598235	-1.7186616193079554	0.013345248348783725	1	DiagnosismitoPD
RANBP9	-0.20894441965111543	0.0316522092982055	-0.44954104860043637	-1.7021166883143277	0.09169788028203205	1	DiagnosismitoPD
PSMD1	-0.3813432888928592	0.05808319873297052	-0.8207697765186889	-1.7008968121477515	0.10514613183421226	1	DiagnosismitoPD
ATP2A2	-0.2951511775458231	0.04669657962518703	-0.6369989347168332	-1.692231895191319	0.003006963826231593	1	DiagnosismitoPD
RBMS1	-0.45318283420541183	0.08031541173590862	-0.9866810801467323	-1.664901506634174	0.028944343757085732	1	DiagnosismitoPD
STK3	-0.22859187690472682	0.04159135900432254	-0.4987751128137762	-1.6582518318882558	0.05493724134106584	1	DiagnosismitoPD
SCLT1	-0.20856864875139602	0.04082686452986556	-0.4579641620326576	-1.6391114438209717	0.020538059041173683	1	DiagnosismitoPD
FRS2	-0.2583969627916234	0.05249078145123898	-0.5692847070344857	-1.6290405465147106	0.008924088629038375	1	DiagnosismitoPD
UBE2D3	-0.16334790003593325	0.03357804163967448	-0.360273841711541	-1.6257685416991168	0.07717564934274147	1	DiagnosismitoPD
RAPGEF2	-0.3198670554812667	0.06943004060554314	-0.7091641515680766	-1.6104099282681483	0.0015566696312232068	1	DiagnosismitoPD
FMNL2	-0.2528740170745274	0.055596414071452604	-0.5613444482205074	-1.6067146671101584	0.19155551377385568	1	DiagnosismitoPD
AAK1	-0.2345035387087382	0.051739353113040065	-0.5207464305305165	-1.6056939866387698	0.13441306125240493	1	DiagnosismitoPD
FAM172A	-0.23489949373983565	0.052353574503300415	-0.5221525619829717	-1.6027489298289535	0.00617903715939304	1	DiagnosismitoPD
UBAP1	-0.1891905510321995	0.04315276110391805	-0.4215338631683171	-1.595942929578116	0.020593928628392797	1	DiagnosismitoPD
NSD1	-0.18358294838668332	0.04331496125540166	-0.4104808580287683	-1.5858055615459765	0.02438132398136839	1	DiagnosismitoPD
ITGAM	-0.21006493800912662	0.05112012858577086	-0.4712500046040241	-1.5763524242797213	0.21189738053953938	1	DiagnosismitoPD
ZFAND3	-0.12799032106690067	0.0341602407916676	-0.2901408829254689	-1.5470585903960454	0.17462125942056075	1	DiagnosismitoPD
SEC31A	-0.26751576506011787	0.0736764029196103	-0.608707933039846	-1.5367330027507018	0.0043080357111538875	1	DiagnosismitoPD
KDM2A	-0.19556454703780424	0.05386151436006506	-0.4449906084356735	-1.5367258204649654	0.00839547624033323	1	DiagnosismitoPD
FAF1	-0.16720009453153972	0.0463378411526279	-0.38073803021570735	-1.5346507984333175	0.15446133106175272	1	DiagnosismitoPD
PITPNB	-0.129993212896931	0.036277651499947855	-0.2962640772938099	-1.5323310938258103	0.0828231896075739	1	DiagnosismitoPD
SCAPER	-0.1621083265200597	0.0454709547706785	-0.3696876078107979	-1.530627139653521	0.03510775351521079	1	DiagnosismitoPD
MGAT4A	-0.2517912293862432	0.07249195673891984	-0.5760744155114063	-1.521823401073973	0.14382618765981997	1	DiagnosismitoPD
KIAA0232	-0.13767452682039583	0.03996332823621532	-0.31531238187700694	-1.5190293424257768	0.16203569114309968	1	DiagnosismitoPD
ADCY7	-0.19053464591294866	0.05569958646356443	-0.43676887828946176	-1.5166089629058885	0.012027539076046615	1	DiagnosismitoPD
ZCCHC7	-0.25491573607472273	0.07574264959013793	-0.5855741217395833	-1.5110025435900198	0.006252566604895668	1	DiagnosismitoPD
ARL8B	-0.1865707471895942	0.05592369377733644	-0.42906518815652483	-1.507960114888569	0.059512303851219736	1	DiagnosismitoPD
RAD23B	-0.12084531378372998	0.03633849417779128	-0.27802912174525124	-1.5068502652291906	0.09634483985117734	1	DiagnosismitoPD
MAPK14	-0.12065700621569753	0.037141562347573126	-0.2784555747789682	-1.4986408864055858	0.07413573225764127	1	DiagnosismitoPD
PDE7A	-0.13707925351083516	0.04287011917203076	-0.3170286261937011	-1.4930332676533657	0.21348388507253857	1	DiagnosismitoPD
DOP1A	-0.19985732000165235	0.0632579743823809	-0.4629726143856856	-1.488750968152407	0.042869767697730904	1	DiagnosismitoPD
BTBD9	-0.19452963480094754	0.06202986398589316	-0.45108913358778824	-1.4860922317764622	0.269088641059306	1	DiagnosismitoPD
TBC1D14	-0.6890279552279936	0.2198875666441492	-1.5979434771001366	-1.4858036243087889	0.001256875037383664	1	DiagnosismitoPD
RPS6KC1	-0.1366124276889895	0.044750038295936795	-0.31797489367391585	-1.4763553012851953	0.2210040415574783	1	DiagnosismitoPD
RAB7A	-0.18614502639919106	0.06199776979634092	-0.43428782259472304	-1.4702725738456928	0.019356033765517745	1	DiagnosismitoPD
PARP9	-0.3685512320397897	0.1241490696992874	-0.8612515337788668	-1.4660984349029091	0.08882982489246316	1	DiagnosismitoPD
SP100	-0.21356182938336987	0.07218095586920231	-0.49930461463594206	-1.4648611116949448	0.15120988942441282	1	DiagnosismitoPD
EXOC6	-0.1463107077536554	0.049534731176087615	-0.34215614668339844	-1.4642348543669812	0.03268661583018352	1	DiagnosismitoPD
NFATC2	-0.2549385572454015	0.08649611918195416	-0.5963732336727572	-1.4634435954190512	0.08551334801630824	1	DiagnosismitoPD
CYTH4	-0.36528709993194686	0.1239799349109198	-0.8545541347748136	-1.463310439694009	0.20730360255485866	1	DiagnosismitoPD
LAP3	-0.1078667317880484	0.03674082329311737	-0.25247428686921414	-1.46199076055157	0.004150754472091704	1	DiagnosismitoPD
ZFX	-0.21819304860707645	0.07472887209698209	-0.511114969311135	-1.4599471282960965	0.034976263160263504	1	DiagnosismitoPD
RASA2	-0.1787003048564475	0.06185692067495466	-0.41925753038784963	-1.4559785546713677	0.16070914335377173	1	DiagnosismitoPD
SMAD3	-0.11438074964940537	0.040282480171533824	-0.26904397947034453	-1.449485763985874	0.10567682271860077	1	DiagnosismitoPD
UBE2K	-0.10607822856712834	0.03738111331449179	-0.24953757044874847	-1.4492573631554948	0.16233532287679633	1	DiagnosismitoPD
ANO10	-0.19385140135117418	0.06901580240260297	-0.4567186051049513	-1.445375305763913	5.04479400423784e-4	1	DiagnosismitoPD
CUL3	-0.16278974754011022	0.05804916667908375	-0.3836286617593042	-1.4447727356343472	0.04234496977078075	1	DiagnosismitoPD
HIPK3	-0.15907571995292136	0.056728090329114494	-0.37487953023495724	-1.4447505885787373	0.019307898088207577	1	DiagnosismitoPD
RIF1	-0.14919696700183005	0.0544907316556357	-0.35288466565929577	-1.4356325092461821	0.1066309432113044	1	DiagnosismitoPD
DTNB	-0.2951002100420588	0.10826129220283037	-0.6984617122869479	-1.4339141943236076	7.471852388927037e-4	1	DiagnosismitoPD
PHF14	-0.1263972168125317	0.047601089779313654	-0.30039552340437703	-1.4237724352098553	0.012768790683566181	1	DiagnosismitoPD
SNAP23	-0.36820094303717754	0.13957256187761036	-0.8759744479519654	-1.4212253700548187	0.1447441070138906	1	DiagnosismitoPD
NBAS	-0.13574513071215777	0.05171459969322123	-0.32320486111753677	-1.4192678432704975	0.1409492878819372	1	DiagnosismitoPD
CDYL	-0.143755650103782	0.05483255891128619	-0.3423438591188502	-1.4187946916635705	0.24223953240138732	1	DiagnosismitoPD
SH3BGRL	-0.23136476257343563	0.09062954738358475	-0.553359072530456	-1.4083062585674972	0.07902286278551175	1	DiagnosismitoPD
EXT1	-0.46744565375765956	0.18412693981170358	-1.1190182473270227	-1.4061006480888167	0.004982300978218478	1	DiagnosismitoPD
HDAC4	-0.21307274572870227	0.08573749446646384	-0.5118829859238684	-1.3975923564150756	0.01467414840750713	1	DiagnosismitoPD
KLHL2	-0.6009027475118845	0.25276285947573884	-1.454568354499508	-1.379635929682633	0.008447132713055586	1	DiagnosismitoPD
DIAPH2	-0.10569489069020221	0.04449080961156482	-0.25588059099196925	-1.3793468931226656	0.30893972743672576	1	DiagnosismitoPD
ARPC2	-0.19282037078928815	0.0812074840903772	-0.4668482256689535	-1.3791334548767726	0.38021701860854845	1	DiagnosismitoPD
TMOD3	-0.15980522553913845	0.06902065731384274	-0.3886311083921197	-1.368780850718921	0.2714596388250797	1	DiagnosismitoPD
GLG1	-0.11075309683982759	0.04812584124599492	-0.26963203492565013	-1.3662734884663055	0.008620589582307788	1	DiagnosismitoPD
SCFD2	-0.18112444309950604	0.07880711921634281	-0.4410560054153549	-1.3657340495016166	0.0027132464215056298	1	DiagnosismitoPD
FNBP4	-0.1633827010436706	0.07126357923139096	-0.3980289813187321	-1.3647103604927795	0.1764637481064187	1	DiagnosismitoPD
DCTN4	-0.11542494644261081	0.0507973254399762	-0.2816472183251978	-1.3610013591005483	0.09654820853881484	1	DiagnosismitoPD
MPZL1	-0.11248528626240129	0.04954174793058727	-0.27451232045538987	-1.3606810182206304	0.37857120469044125	1	DiagnosismitoPD
USO1	-0.18919407772637475	0.08402186596703437	-0.4624100214197839	-1.3572179332553034	0.16392661291127977	1	DiagnosismitoPD
UGGT2	-0.310634947249786	0.1396266366839734	-0.7608965311835454	-1.3521768915525536	0.03111943758533409	1	DiagnosismitoPD
RAB3GAP2	-0.11713132990263575	0.053236760556260754	-0.28749942036153225	-1.3475128320806822	0.3122090654583544	1	DiagnosismitoPD
FMN1	-0.24054563136850682	0.11363271548463011	-0.5947239782216438	-1.3311394621089492	0.3605514153012576	1	DiagnosismitoPD
VPS13C	-0.27314833173016884	0.13069073881956605	-0.6769874022799037	-1.3256787955151497	0.15802951192700984	1	DiagnosismitoPD
ERBIN	-0.13357723606780292	0.06415992150891739	-0.3313143936445232	-1.3240130234284353	0.06585204664187642	1	DiagnosismitoPD
ASCC3	-0.14537939076484063	0.0707249663787187	-0.3614837479084	-1.3185220962674824	0.2268896219636056	1	DiagnosismitoPD
UBAC2	-0.20236238747852786	0.09948228335531623	-0.5042070583123719	-1.3139969978193922	0.35656959427819235	1	DiagnosismitoPD
GNB1	-0.15829625422656557	0.0789276848182138	-0.3955201932713449	-1.3078568647875783	0.2704209436543182	1	DiagnosismitoPD
FCHSD2	-0.10858977008411186	0.05424721926384174	-0.27142675943206546	-1.307025137879208	0.37551847404089755	1	DiagnosismitoPD
LARS1	-0.3157891346153954	0.16012241495870744	-0.7917006841894982	-1.3005259719146047	0.04617349265953683	1	DiagnosismitoPD
PPP3R1	-0.11203399493906208	0.05713791906983759	-0.2812059089479617	-1.2979849309569949	0.3653740811228248	1	DiagnosismitoPD
ARHGAP25	-0.22997710561842233	0.11757824622328389	-0.5775324574601286	-1.2969066420423416	0.21406002884465491	1	DiagnosismitoPD
WDPCP	-0.12320802290747812	0.06316004718574814	-0.3095760930007044	-1.295733155278405	0.33081177552749785	1	DiagnosismitoPD
DENND3	-0.2118925832988774	0.10921751603510121	-0.533002682632856	-1.293331579163469	0.27100934750770783	1	DiagnosismitoPD
AGFG1	-0.1116721314299145	0.05792040095964915	-0.2812646638194781	-1.2905836866489575	0.10935933742115816	1	DiagnosismitoPD
ACER3	-0.5369775623747555	0.2799765663293703	-1.3539316910788812	-1.288269005299068	0.009438128746703406	1	DiagnosismitoPD
BIN1	-0.6145261166691376	0.3204855695640906	-1.5495378029023659	-1.2881647084893573	4.912130537326026e-4	0.9976537121309158	DiagnosismitoPD
ST3GAL3	-0.28286157233718245	0.1482197167341746	-0.7139428614085395	-1.2860648523751605	0.07105457141840742	1	DiagnosismitoPD
RNF217	-0.14645212357885296	0.07743351150720021	-0.37033775866490615	-1.2820871136445773	0.20825536503503464	1	DiagnosismitoPD
BDP1	-0.10417873389605115	0.05568397875206754	-0.26404144654416983	-1.277261989421429	0.11691675586507523	1	DiagnosismitoPD
MAN1A2	-0.12476148880761095	0.06768886271578509	-0.317211840331007	-1.2706031596455014	0.04452311192863771	1	DiagnosismitoPD
CMSS1	-0.21640881002941414	0.11838430884746376	-0.551201928906292	-1.266912160613453	0.09368881516967092	1	DiagnosismitoPD
ARFGEF2	-0.15484611160250583	0.08527575100771492	-0.39496797421272656	-1.2639115763466637	0.07080768689149967	1	DiagnosismitoPD
SIL1	-0.14486672235385378	0.07984499647171558	-0.3695784411794232	-1.263545843785379	0.1907671124127547	1	DiagnosismitoPD
ABI1	-0.1655280406755003	0.0921661793214642	-0.4232222606724648	-1.2589688591357744	0.13866622960668912	1	DiagnosismitoPD
NR3C1	-0.107295008310484	0.06105022677792862	-0.2756402433988966	-1.249185056524057	0.3019614276984685	1	DiagnosismitoPD
SEL1L	-0.17014086500083625	0.09756344567792402	-0.4378451756795965	-1.245665289642226	0.1438057457909943	1	DiagnosismitoPD
MNAT1	-0.23913351820412387	0.14070688439405027	-0.618973920802298	-1.2339210888849481	0.40210584350247935	1	DiagnosismitoPD
FOXJ3	-0.14326531110421792	0.08613892642752322	-0.372669548635959	-1.224017712224438	0.0028920057500510447	1	DiagnosismitoPD
YWHAE	-0.16717328084270355	0.1010201633363087	-0.4353667250217158	-1.2217062599427235	0.010411123135055062	1	DiagnosismitoPD
BICD1	-0.2079902751339856	0.12636060073073474	-0.542341150998706	-1.21923846421185	0.18920841367578514	1	DiagnosismitoPD
TRPM2	-0.21011478862637345	0.12842283539010296	-0.5486524126428498	-1.2164598234047248	0.31987615898999205	1	DiagnosismitoPD
CNOT1	-0.11220858948674095	0.07014385843206483	-0.29456103740554673	-1.2060424560243668	0.016309047931115424	1	DiagnosismitoPD
RNF111	-0.1568019959097744	0.09837360061066269	-0.4119775924302115	-1.2043716910152917	0.32398104728978905	1	DiagnosismitoPD
FARS2	-0.3579251540876198	0.2250932532276788	-0.9409435614029185	-1.2032560248021449	0.05569572884844242	1	DiagnosismitoPD
ARID1A	-0.14572011585162215	0.09171511183586947	-0.38315534353911374	-1.202880388364669	0.07250150664436883	1	DiagnosismitoPD
MGA	-0.10847385900947537	0.06863414308244492	-0.28558186110139566	-1.2004249069011796	0.23411262521871318	1	DiagnosismitoPD
SLMAP	-0.13095353173407043	0.08290479463646852	-0.34481185810460935	-1.2001599853652414	0.2558197982065805	1	DiagnosismitoPD
