primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
CDC14B	-0.22009162006555982	-0.11225739406129881	-0.32792584606982084	-4.000322203921831	9.543977283634652e-6	0.020099616159334577	DiagnosismitoPD
SH3GL3	-0.310559324258755	-0.14926367845167876	-0.4718549700658312	-3.773723013814625	4.95460433287869e-4	1	DiagnosismitoPD
TJP1	-0.14903169256566962	-0.06964282721723368	-0.22842055791410554	-3.679316346212432	2.454291051897704e-5	0.05161374082140871	DiagnosismitoPD
KIDINS220	-0.14738271258113	-0.06741071098045104	-0.22735471418180897	-3.6120742612547114	0.0015813008993354537	1	DiagnosismitoPD
BTBD7	-0.13243043516757458	-0.05784021616591642	-0.20702065416923274	-3.4797978456081844	0.0016220749657840546	1	DiagnosismitoPD
CAMTA1	-0.15431698267807292	-0.06408346136475963	-0.24455050399138623	-3.3519220335169293	0.001522559637847127	1	DiagnosismitoPD
TENT2	-0.16372887305832506	-0.06237093315603291	-0.2650868129606172	-3.1660341038205178	0.015166606077136147	1	DiagnosismitoPD
FAR1	-0.30269117679048096	-0.1139418759805845	-0.49144047760037746	-3.1431311395686135	2.724455086210962e-4	0.5713182315784388	DiagnosismitoPD
ANKIB1	-0.33689255364614956	-0.1253174388682413	-0.5484676684240578	-3.120864533143698	3.6745537806403254e-4	0.7698190170441481	DiagnosismitoPD
GTDC1	-0.3408249956850016	-0.12275974678576096	-0.5588902445842422	-3.063324944921788	0.0016839132082282907	1	DiagnosismitoPD
PRDM2	-0.10104536788429463	-0.035795494543134646	-0.16629524122545464	-3.0351826251421947	0.006599472098288637	1	DiagnosismitoPD
RUFY2	-0.17391151056436605	-0.06136336345108609	-0.28645965767764603	-3.028573156873368	0.010437495335582464	1	DiagnosismitoPD
EVI5	-0.19083624942138666	-0.06731629760806235	-0.314356201234711	-3.0281114129310485	0.0022320786190708915	1	DiagnosismitoPD
ZNF518A	-0.321483304733553	-0.09883668334580234	-0.5441299261213037	-2.8300258723052187	0.0013924918564050543	1	DiagnosismitoPD
FUT8	-0.23187687288318015	-0.06535416332373101	-0.3983995824426293	-2.729179226672131	0.004293773653856876	1	DiagnosismitoPD
CSNK2A1	-0.10313733228831834	-0.028213667548446328	-0.17806099702819034	-2.698018809523989	0.0010294585888984738	1	DiagnosismitoPD
SFPQ	-0.17782811875388682	-0.04774006651554616	-0.30791617099222746	-2.6792368876240746	0.016545901536595672	1	DiagnosismitoPD
