primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
CAMTA1	-0.32805798501685146	-0.22465571685409794	-0.431460253179605	-6.218256590481809	1.0890028026862213e-7	3.517479052676495e-4	DiagnosismitoPD
LSAMP	-3.8348261850617846	-2.3611796407669736	-5.308472729356596	-5.100355467727808	1.5617116788543177e-6	0.0050271498942320485	DiagnosismitoPD
PDE8A	-0.5012021848342909	-0.26441495033342804	-0.7379894193351537	-4.148611445708732	2.8589336125049497e-4	0.8922731804627948	DiagnosismitoPD
SPOCK1	-0.5199364746933339	-0.26297404861253626	-0.7768989007741316	-3.965781224089275	6.0874137597049294e-5	0.1935188834210197	DiagnosismitoPD
HNRNPA2B1	-0.29774252668836443	-0.1477090607270303	-0.4477759926496986	-3.889563073384863	1.032457370848568e-5	0.03306960958827963	DiagnosismitoPD
LAMP2	-0.2573129649137451	-0.1244694979356106	-0.39015643189187965	-3.796378967353875	0.002772937293513989	1	DiagnosismitoPD
ECPAS	-0.31538070206543667	-0.1438478440810007	-0.48691356004987263	-3.603594231044056	4.524397821721105e-5	0.14405682664359998	DiagnosismitoPD
TMEM132B	-0.3118960876844379	-0.13524327307423475	-0.488548902294641	-3.460488869816949	2.698989862552745e-5	0.08609777661543257	DiagnosismitoPD
RAB7A	-0.3361706524437722	-0.1416433174509848	-0.5306979874365596	-3.387094011613098	6.912631036909925e-5	0.21940690911152103	DiagnosismitoPD
GRID1	-0.2414950965357363	-0.09462958550323647	-0.38836060756823615	-3.222823985873207	0.0029999635946569687	1	DiagnosismitoPD
EMC2	-0.2819729824048598	-0.10831613363750081	-0.4556298311722188	-3.1824652701561074	3.5149691730786256e-4	1	DiagnosismitoPD
DICER1	-0.3398463763339251	-0.12797842125855421	-0.551714331409296	-3.14387637174287	1.093496660419128e-5	0.035013763066620476	DiagnosismitoPD
THRAP3	-0.24613607190971276	-0.08442892881029143	-0.4078432150091341	-2.983280929912886	1.3056980069453263e-4	0.4118171513905559	DiagnosismitoPD
ATP13A3	-0.27317408834795964	-0.0906776582168792	-0.45567051847904005	-2.933818345306795	0.0036626228699762993	1	DiagnosismitoPD
