primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
DTNA	-0.5345337631085934	-0.2247013463713441	-0.8443661798458426	-3.3813986775372595	5.343757279988289e-4	1	DiagnosismitoPD
PDE4B	-0.22599209278744947	-0.05769011366751059	-0.39429407190738835	-2.631795329861097	0.01195596360266433	1	DiagnosismitoPD
UBAC2	-0.35288369918464557	-0.07211496054926186	-0.6336524378200292	-2.463377313638037	2.1396134181248254e-4	0.600375525125826	DiagnosismitoPD
NPAS3	-0.23456156494832303	-0.04014780145304728	-0.42897532844359876	-2.3647102509140883	0.020270582190121594	1	DiagnosismitoPD
DICER1	-0.24926230596046461	-0.04084495688468939	-0.45767965503623986	-2.344071376746528	0.06763799202989176	1	DiagnosismitoPD
SMAD3	-0.2971953281554931	-0.04624394035041407	-0.5481467159605722	-2.3211353587363583	3.7293656320438285e-4	1	DiagnosismitoPD
LRRFIP1	-0.1981719252538343	-0.020473775640765773	-0.3758700748669028	-2.1857843601085745	0.0032226602608042246	1	DiagnosismitoPD
CRIM1	-0.2206721224543503	-0.014137973724385522	-0.4272062711843151	-2.0941302688304004	0.032239052287625455	1	DiagnosismitoPD
KCNQ3	-0.7595882654083674	-0.04826828391378235	-1.4709082469029524	-2.0929619327599123	1.5783329011691075e-5	0.047002753796816024	DiagnosismitoPD
MED13L	-0.29921310182793004	-0.012531446347961661	-0.5858947573078984	-2.045638052087487	0.029242829541693747	1	DiagnosismitoPD
DST	-0.6206583601968663	-0.020569712945586183	-1.2207470074481463	-2.027147219434338	0.1215521116088271	1	DiagnosismitoPD
ATP2A2	-0.22122317862045104	-0.004172483259056281	-0.4382738739818458	-1.99764143542419	0.03043899167109702	1	DiagnosismitoPD
NRP1	-0.6860389052419641	5.431030375339096e-4	-1.372620913521462	-1.9584136054438577	4.48178876811985e-4	1	DiagnosismitoPD
HNRNPK	-0.11677509522412244	0.006508578637439699	-0.24005876908568458	-1.8564905941035128	0.017167125115616626	1	DiagnosismitoPD
PRKCA	-0.29975408346955534	0.029243035876184875	-0.6287512028152955	-1.7857518296436365	0.13711633497997494	1	DiagnosismitoPD
UGP2	-0.2968908174495165	0.036350273951091416	-0.6301319088501245	-1.7461691386737743	0.031219579529792173	1	DiagnosismitoPD
PIP4K2A	-0.3332633424847544	0.04190120919612583	-0.7084278941656347	-1.7410604112543195	0.005525059030462837	1	DiagnosismitoPD
ATXN7L1	-0.2770194812994511	0.04258440401923169	-0.5966233666181339	-1.698816038551933	0.01361204111752414	1	DiagnosismitoPD
NRCAM	-0.4803397612594853	0.07509319540780202	-1.0357727179267726	-1.6949815834840727	1.5619619160976667e-4	0.44219141844724946	DiagnosismitoPD
GPC5	-0.24748114648438602	0.03910346744680404	-0.5340657604155761	-1.6925337592566676	0.11455780445609062	1	DiagnosismitoPD
DNER	-0.16076034485524604	0.03397124888508671	-0.3554919385955788	-1.618045022928711	0.07777885228176776	1	DiagnosismitoPD
EML4	-0.1350767089098221	0.03143626429202362	-0.3015896821116678	-1.589939087163674	0.0035875879611206294	1	DiagnosismitoPD
UBE2E2	-0.12584373371499963	0.035159885194146395	-0.2868473526241456	-1.5319480855932297	1.3561685630391762e-5	0.04046806992108902	DiagnosismitoPD
LARS1	-0.08916028749884353	0.02543119883427035	-0.20375177383195742	-1.5249907121457045	0.02092976044081388	1	DiagnosismitoPD
FNDC3A	-0.1306424828250422	0.03756592229169828	-0.2988508879417827	-1.5222459365824645	0.03727004338342206	1	DiagnosismitoPD
NEAT1	-0.8064732748751382	0.23699485055145697	-1.8499414003017334	-1.5148125129391279	0.31653917736949444	1	DiagnosismitoPD
SMAD1	-0.2091195455174999	0.06300242660963384	-0.48124151764463363	-1.5061877380713562	0.06976456718582726	1	DiagnosismitoPD
DLG2	-0.10089106594638064	0.033397823622799055	-0.23517995551556034	-1.4725183613562696	0.08443209876749132	1	DiagnosismitoPD
TRIM44	-0.11146651604415125	0.036930259199510096	-0.2598632912878126	-1.4722042077395094	5.3396897138996225e-5	0.15591893964586898	DiagnosismitoPD
FGF2	-0.22215661950305865	0.07361812810217483	-0.5179313671082921	-1.4721303176778	0.12512012695895855	1	DiagnosismitoPD
NRG3	-0.15222976415728962	0.05103734736731372	-0.3554968756818929	-1.4678461896045594	0.339024666038192	1	DiagnosismitoPD
HSD17B4	-0.09463821219138435	0.033973147911298435	-0.22324957229406714	-1.4422325314675182	3.2598346342972554e-4	0.8987364086757533	DiagnosismitoPD
RYR3	-0.18918615123484317	0.0724370333960081	-0.45080933586569444	-1.4172981011496906	0.23871603656790488	1	DiagnosismitoPD
SMC5	-0.14611535995589592	0.057264325104977254	-0.3494950450167691	-1.4081093842580485	0.0014200929840857252	1	DiagnosismitoPD
DDR2	-0.16291438262383695	0.06578394533188309	-0.391612710579557	-1.396190017480677	0.09401670605349063	1	DiagnosismitoPD
HUWE1	-0.10255029175247166	0.041994653775744684	-0.247095237280688	-1.3905355023270842	0.07362220747278535	1	DiagnosismitoPD
OLA1	-0.10194801931649144	0.04258836938190977	-0.24648440801489266	-1.3824507997945237	0.001395375886150206	1	DiagnosismitoPD
HNRNPA2B1	-0.1321620449377643	0.05564773029999581	-0.3199718201755244	-1.379229850380558	0.007829834209616866	1	DiagnosismitoPD
RAB6A	-0.08859243601612626	0.037471757532411304	-0.21465662956466383	-1.3773775011492222	9.803817164465388e-5	0.2817617053067352	DiagnosismitoPD
ARID5B	-0.6329434469947406	0.2777773425901363	-1.5436642365796174	-1.3621588246885104	3.6009542891437304e-4	0.9866614752253822	DiagnosismitoPD
ACSL3	-0.09438461075388149	0.042451567545939206	-0.2312207890537022	-1.3519117536818985	0.013746657394460458	1	DiagnosismitoPD
BMPR1B	-0.2522275755828465	0.1174168047280657	-0.6218719558937587	-1.3373853097250497	0.20375588711026144	1	DiagnosismitoPD
LGALS3	-0.3732369604505975	0.17557810728131407	-0.9220520281825091	-1.332928053899049	0.035032787980837886	1	DiagnosismitoPD
PPP4R1	-0.07077233410832262	0.03350094094759494	-0.17504560916424017	-1.3302663206824827	4.492617586589813e-4	1	DiagnosismitoPD
CLCN3	-0.08422124008372633	0.039912238074943915	-0.2083547182423966	-1.3297830669532011	0.011910932115413149	1	DiagnosismitoPD
SPOCK1	-0.3843347180502765	0.18334746786883493	-0.952016903969388	-1.3269435329686963	5.671520017731273e-4	1	DiagnosismitoPD
RNF213-AS1	-0.14096441931699927	0.07044745692691676	-0.3523762955609153	-1.3068574475170796	0.00284915103199981	1	DiagnosismitoPD
CDK14	-0.16603326659125184	0.08345616613805823	-0.4155226993205619	-1.3043407057142289	0.14194051032471128	1	DiagnosismitoPD
YAP1	-0.1805046392824885	0.0939310389659227	-0.4549403175308997	-1.2891275445455657	0.29664796543432076	1	DiagnosismitoPD
TAX1BP1	-0.13825531625897658	0.0727212964875451	-0.34923192900549827	-1.2843861554662128	0.004213722163585792	1	DiagnosismitoPD
LRPPRC	-0.09410087193875563	0.05052370633844769	-0.23872545021595895	-1.2752626290136504	1.134623960740028e-4	0.324162065583426	DiagnosismitoPD
FBXL13	-0.21552009928628757	0.12456222632802927	-0.5556024249006044	-1.242086402998408	0.1428708788795274	1	DiagnosismitoPD
LARP4	-0.11651472199958357	0.0674985061296505	-0.3005279501288176	-1.2410230563831965	0.018581615740041326	1	DiagnosismitoPD
KIAA1328	-0.08859803790062493	0.052514268565426736	-0.2297103443666766	-1.2305727808928941	1.9022791303695456e-4	0.5364427147642119	DiagnosismitoPD
PRRC2B	-0.12376880200182039	0.07350533951363417	-0.3210429435172749	-1.2296715244569083	0.05094153951144859	1	DiagnosismitoPD
ARHGEF11	-0.08408070251132643	0.05046516344023122	-0.21862656846288409	-1.2248250628254875	5.810047571090732e-4	1	DiagnosismitoPD
FUS	-0.14553328157000345	0.08751153334701847	-0.37857809648702534	-1.2239705506028797	0.18344134958791786	1	DiagnosismitoPD
TCERG1	-0.05839667990037373	0.03514259240182295	-0.1519359522025704	-1.2236078665619325	0.0016215573463057586	1	DiagnosismitoPD
MIR100HG	-0.20049215594694791	0.12141666140204171	-0.5224009732959376	-1.2207102870773205	0.33334515149559535	1	DiagnosismitoPD
DOCK4	-0.12929150469188455	0.07947553398697876	-0.33805854337074787	-1.2138252010792223	0.35984552767336353	1	DiagnosismitoPD
BMERB1	-0.09251309619540776	0.059559518318228116	-0.24458571070904364	-1.192340496158367	0.0045521916421872866	1	DiagnosismitoPD
ME1	-0.3344413022833226	0.21706202534684194	-0.8859446299134871	-1.1885565772280449	0.08810767310214045	1	DiagnosismitoPD
SH3GLB1	-0.10902735121235863	0.07144785360873412	-0.2895025560334514	-1.1840390036839432	0.03457841886342283	1	DiagnosismitoPD
RBMS3	-0.22657446515126056	0.14892765698442378	-0.6020765872869449	-1.1826239196390815	0.1294046313547389	1	DiagnosismitoPD
ZNF708	-0.19017513144945997	0.1268510632715666	-0.5072013261704865	-1.1757274780530635	0.07567830347515547	1	DiagnosismitoPD
WDR41	-0.0533262520524303	0.036653674570689035	-0.14330617867554962	-1.1615649998364623	8.594111649589492e-4	1	DiagnosismitoPD
B4GALNT4	-0.1341250652441882	0.09547221767474282	-0.3637223481631192	-1.1449625795245788	0.1756632483180434	1	DiagnosismitoPD
CACHD1	-0.21721874565966992	0.15495344587023302	-0.5893909371895729	-1.143935328724613	0.04264058344288703	1	DiagnosismitoPD
RARS2	-0.11207992717760329	0.08112895082569346	-0.30528880518090007	-1.136969599576196	0.024918233572055293	1	DiagnosismitoPD
FSTL1	-0.13791034063754426	0.10162255841996723	-0.3774432396950558	-1.1284433236886549	0.05696884081545448	1	DiagnosismitoPD
B4GALT5	-0.11526079723940386	0.0853232075909417	-0.3158448020697494	-1.1262463904321678	1.0542203255291212e-4	0.30203412326409323	DiagnosismitoPD
MRPS5	-0.07269877182385237	0.054574609842298005	-0.19997215349000275	-1.1195347576196422	0.012851287848737446	1	DiagnosismitoPD
IARS1	-0.10413955372712419	0.07832636080978325	-0.28660546826403166	-1.1186186482514353	1.9522719563085122e-5	0.05792390894367356	DiagnosismitoPD
MFN1	-0.07971260698348903	0.0607513559960407	-0.22017656996301876	-1.112269905300927	0.001670581494201605	1	DiagnosismitoPD
SIK2	-0.062318232627250225	0.048484908805239646	-0.1731213740597401	-1.102328778322749	0.014358899601659564	1	DiagnosismitoPD
