primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
ITPR1	-0.4841415550605377	-0.19418907173583827	-0.774094038385237	-3.2726052229573637	8.05425584553997e-4	1	DiagnosismitoPD
MVB12B	-0.6035692300661448	-0.2407800315325046	-0.966358428599785	-3.2607750117359693	0.005915159707279521	1	DiagnosismitoPD
AHCYL1	-0.4088234845464913	-0.14129179919740303	-0.6763551698955796	-2.9950818898320106	0.009744679039131805	1	DiagnosismitoPD
ADGRB3	-1.2029568918569273	-0.3734850853435644	-2.0324286983702904	-2.842474167873767	4.018051969551123e-4	1	DiagnosismitoPD
DLG2	-0.8729014416728287	-0.26293671056996204	-1.4828661727756953	-2.8048431335340758	0.004406227031035707	1	DiagnosismitoPD
NBEA	-0.5182985008727012	-0.1147590028725805	-0.921837998872822	-2.5173406816085495	0.045048591934243536	1	DiagnosismitoPD
MIR99AHG	-0.909288911073876	-0.16357785905173539	-1.6549999630960166	-2.389898221856482	0.00265954274245657	1	DiagnosismitoPD
LSAMP	-1.0936853948465188	-0.18074625994551197	-2.006624529747526	-2.348003171700029	0.00820296637819748	1	DiagnosismitoPD
TANC2	-0.3364756036398848	-0.001640370709649397	-0.6713108365701203	-1.9695659236313234	0.2225455396170012	1	DiagnosismitoPD
SGIP1	-0.43488885506650277	0.009611878437021493	-0.879389588570027	-1.9175817472558716	5.53657441343592e-5	0.1423453281694375	DiagnosismitoPD
TERF2IP	-0.2334612799923339	0.011822366526691108	-0.4787449265113589	-1.865496159500812	0.20430913162839928	1	DiagnosismitoPD
ANK2	-0.6770969093336436	0.03810139308951699	-1.3922952117568044	-1.8555490859542454	0.01892243642912069	1	DiagnosismitoPD
EEFSEC	-0.28603415150055744	0.040322091315136754	-0.6123903943162516	-1.717805764807041	0.21055071824567506	1	DiagnosismitoPD
DAAM1	-0.5968929841504396	0.13682114011816793	-1.3306071084190472	-1.5944748954174566	0.05818760445403263	1	DiagnosismitoPD
WDPCP	-0.255376361953898	0.059465594816859035	-0.570218318724655	-1.5897769060587756	0.003554613081302123	1	DiagnosismitoPD
HMGN3	-0.18782064244011276	0.04403136440088065	-0.41967264928110615	-1.5877442673517934	0.10668606369361554	1	DiagnosismitoPD
DMD	-0.48611357053655535	0.13028987379251455	-1.1025170148656254	-1.5456842420549184	0.029969806447325182	1	DiagnosismitoPD
FAM155A	-0.5379203285971066	0.16211590826347688	-1.23795656545769	-1.506071279010448	0.06369057937733186	1	DiagnosismitoPD
ZNF708	-0.26898655170023655	0.087160363956781	-0.6251334673572542	-1.4802990858014373	0.24137049554839138	1	DiagnosismitoPD
