primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
GABPB1-AS1	-0.2745080435475389	-0.17385204831858914	-0.37516403877648863	-5.345194566860602	9.713095840094641e-5	0.5495669626325548	DiagnosismitoPD
KCNMA1-AS1	-0.34538849902698754	-0.2167098728949633	-0.4740671251590118	-5.260772819199153	1.9554973559281747e-4	1	DiagnosismitoPD
TTC6	-0.5401142751551644	-0.33726838319470104	-0.7429601671156278	-5.2187624635080665	1.9598329433156903e-7	0.0011274918922895166	DiagnosismitoPD
AC007098.1	-0.45603809638013537	-0.2780106734936149	-0.6340655192666558	-5.020677320330673	3.2511827039726093e-6	0.018674793451618668	DiagnosismitoPD
AL391807.1	-0.4615393398739629	-0.2772587598890962	-0.6458199198588296	-4.908821557190915	1.7263843188181625e-4	0.97143645619898	DiagnosismitoPD
SRSF5	-0.24276881187173682	-0.14061950117811511	-0.34491812256535853	-4.65806498944779	5.258393347011268e-4	1	DiagnosismitoPD
SLC39A10	-0.2606626727703656	-0.1502589164729416	-0.3710664290677896	-4.627464389595105	5.604366378358451e-4	1	DiagnosismitoPD
MEF2C-AS2	-0.63878994005203	-0.36736488030430936	-0.9102149997997507	-4.612710695733734	3.022074728449383e-5	0.17216759727976133	DiagnosismitoPD
PPFIA2-AS1	-0.6466186185131741	-0.36811625992563696	-0.9251209771007114	-4.55058696969893	1.2147484507194459e-4	0.6857255004311272	DiagnosismitoPD
AC090579.1	-1.1294915914495323	-0.6390423378611927	-1.6199408450378718	-4.513744946872815	2.4901579966345217e-6	0.014308447848661962	DiagnosismitoPD
KCNMB2-AS1	-0.5443773011881077	-0.3060170651840625	-0.7827375371921528	-4.476249571726793	3.948489183915849e-6	0.022672224894044805	DiagnosismitoPD
SLIRP	-0.23044889644678768	-0.1285344083582097	-0.3323633845353656	-4.431867792144904	1.2642191967547073e-6	0.007266731942946057	DiagnosismitoPD
GDA	-0.2680468855291944	-0.14741310933342175	-0.38868066172496707	-4.3550177932982725	1.4215340409032956e-5	0.08135439316089561	DiagnosismitoPD
RAB11A	-0.7462143266937833	-0.4097677354791655	-1.082660917908401	-4.347059067495989	5.055356249864313e-6	0.029012689517971292	DiagnosismitoPD
