primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
AC016042.1	-1.3727780644270666	-0.9634527620447477	-1.7821033668093855	-6.573245165603225	2.450724201208658e-4	1	DiagnosismitoPD
AC090709.1	-1.034650890053486	-0.7009458431308109	-1.3683559369761613	-6.0768588901414935	1.0065958460693589e-4	0.45759847162313055	DiagnosismitoPD
PDE5A	-0.8616293431099411	-0.5447232753305372	-1.1785354108893449	-5.32890547773899	8.557803276699542e-4	1	DiagnosismitoPD
STRADB	-0.5019845511217902	-0.31181651524547127	-0.6921525869981091	-5.173696181171595	9.038266878981408e-7	0.004140430057261383	DiagnosismitoPD
PAFAH1B1	-0.41375608243763207	-0.25648708258582986	-0.5710250822894343	-5.1564327408854655	1.3053498125985158e-4	0.5926288149197262	DiagnosismitoPD
STAT1	-0.8603940705364863	-0.5256490690604414	-1.1951390720125312	-5.037689534802527	5.381979526145757e-4	1	DiagnosismitoPD
CRLF3	-0.4837528925384156	-0.294954168053581	-0.6725516170232502	-5.02195260788708	2.79656026143903e-5	0.12755111352423415	DiagnosismitoPD
AC023590.1	-0.8077682327284776	-0.4693818398090831	-1.1461546256478723	-4.67866520974592	3.1983322313308856e-4	1	DiagnosismitoPD
AC053513.1	-0.6646761492439088	-0.385614692773187	-0.9437376057146307	-4.668295401222885	2.1872276050092338e-5	0.09980319561657133	DiagnosismitoPD
WSB1	-0.5631176526385513	-0.3234358557072703	-0.8027994495698323	-4.604814935306644	6.635653791032331e-5	0.30205496056779174	DiagnosismitoPD
SLC8A1-AS1	-0.6004569671054645	-0.33211670081436856	-0.8687972333965603	-4.385752634366798	0.001054509962339001	1	DiagnosismitoPD
DLGAP1-AS4	-0.600095809146195	-0.33143131025015915	-0.8687603080422308	-4.3778250495801485	0.001344254160752718	1	DiagnosismitoPD
AC104781.1	-0.46485542351534015	-0.25410013604476483	-0.6756107109859155	-4.32302268210179	1.682769233392426e-5	0.07685207088903209	DiagnosismitoPD
RBMS3-AS3	-0.6713799280158064	-0.3668027183848882	-0.9759571376467245	-4.320351087491534	4.32052541970883e-5	0.19697275388452556	DiagnosismitoPD
SNAP25-AS1	-0.7021827600685722	-0.36965606025985814	-1.0347094598772861	-4.138774182918306	1.2493831482375442e-5	0.05710930370593814	DiagnosismitoPD
SERINC1	-0.3807534707582332	-0.19993755904822888	-0.5615693824682375	-4.127198113358691	4.141653121196545e-4	1	DiagnosismitoPD
MFSD4B	-0.650933212565528	-0.3404025148303484	-0.9614639103007077	-4.108468703011759	7.2600066777949924e-6	0.0332000105375565	DiagnosismitoPD
AC008056.1	-0.5789570974854872	-0.3020827326033378	-0.8558314623676366	-4.098375305161949	5.269787087951865e-4	1	DiagnosismitoPD
MYRFL	-0.550828814343642	-0.2858343437652518	-0.8158232849220322	-4.074064773517874	2.784880300739736e-4	1	DiagnosismitoPD
