primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
SPP1	-1.2186466606304442	-0.7228878538844006	-1.714405467376488	-4.817874200546891	4.548680997347858e-7	9.588619542409286e-4	DiagnosismitoPD
SLC1A3	-0.454702314775159	-0.2419093869358603	-0.6674952426144577	-4.1881098666932255	6.378130769620262e-7	0.0013432343400820272	DiagnosismitoPD
NCK2	-0.5138721911173967	-0.2057025507665005	-0.8220418314682929	-3.268235592902563	3.064218502814247e-4	0.6217299342210107	DiagnosismitoPD
AC131944.1	-0.7583621409361276	-0.2717163098727489	-1.2450079719995064	-3.0543002499900602	3.95429632670653e-7	8.343565249350778e-4	DiagnosismitoPD
SPTLC2	-0.2603025046756997	-0.08450396512397451	-0.4361010442274249	-2.902091994341222	9.064577990625772e-6	0.018944968000407864	DiagnosismitoPD
ZMYM4	-0.4992854954460062	-0.14394102581466844	-0.8546299650773439	-2.7538956497414087	0.0067185891034392976	1	DiagnosismitoPD
TMEM161B-AS1	-0.7589688202875651	-0.19346723309785774	-1.3244704074772724	-2.6304993422652494	3.435798673381702e-4	0.6950620716251183	DiagnosismitoPD
RAPGEF2	-0.5794761435684417	-0.12352126312374018	-1.0354310240131432	-2.490931493455199	0.0011164910265760379	1	DiagnosismitoPD
CAMTA1	-0.21926145420227283	-0.04405918788620805	-0.3944637205183376	-2.4528481421528774	0.009693793106462033	1	DiagnosismitoPD
STT3B	-0.44403238024163194	-0.0775467840674155	-0.8105179764158483	-2.374683977564794	0.04788320588027908	1	DiagnosismitoPD
RBMS1	-0.6569720314643512	-0.10265530111272003	-1.2112887618159824	-2.3229346148427217	3.217811064289483e-4	0.6516067405186203	DiagnosismitoPD
BACH1	-0.7855733299505661	-0.09304058393226611	-1.478106075968866	-2.223281776595765	6.617361115697668e-7	0.0013929545148543593	DiagnosismitoPD
BTBD9	-0.22910907034065975	-0.026947329884049076	-0.4312708107972704	-2.2212191356530395	0.03176227618220854	1	DiagnosismitoPD
ADAM9	-0.37982802037044294	-0.03738065246040484	-0.7222753882804811	-2.173908489320855	0.00821339696661408	1	DiagnosismitoPD
ATP6V1B2	-0.3085309446531952	-0.025524162261426564	-0.5915377270449638	-2.136731616556379	0.029169172600851084	1	DiagnosismitoPD
MAPK14	-0.2966878639443209	-0.010202458946839799	-0.583173268941802	-2.029763184571658	0.021118847068010805	1	DiagnosismitoPD
GLS	-0.1757240930550048	-6.787314704208014e-4	-0.3507694546395888	-1.967563667417431	0.01674997838555554	1	DiagnosismitoPD
SUGP2	-0.25096412151362957	0.00678966771183892	-0.508717910739098	-1.9083352413809838	0.06972189460743487	1	DiagnosismitoPD
RYK	-0.35951234906000784	0.01584457358799013	-0.7348692717080059	-1.8772299473900906	0.07879084270090027	1	DiagnosismitoPD
AGFG1	-0.22658411452158478	0.013176936794079774	-0.46634516583724933	-1.8522470663782515	1.6537397885895593e-4	0.3400089005340134	DiagnosismitoPD
DIS3L2	-0.3031196399904714	0.02085444523267249	-0.6270937252136153	-1.8337996910427874	0.03924599281347277	1	DiagnosismitoPD
VSIG4	-0.17677641729838456	0.013019117938357166	-0.3665719525351263	-1.8255192925833608	2.942569259055109e-4	0.5973415595881871	DiagnosismitoPD
DDX10	-0.48459776299765145	0.035850883498832475	-1.0050464094941354	-1.8249526996713787	3.733188277978442e-4	0.7541040321516452	DiagnosismitoPD
SUPT3H	-0.3408477268292993	0.026283555561377958	-0.7079790092199766	-1.8196468152961112	0.028860243963046744	1	DiagnosismitoPD
SCIN	-0.2760719074703273	0.021777701695623708	-0.5739215166362783	-1.8166584045562384	0.1834327015552168	1	DiagnosismitoPD
ATP6V1H	-0.24485295106035898	0.022196163041552697	-0.5119020651622707	-1.797058818938866	0.0990945917047629	1	DiagnosismitoPD
TASOR2	-0.2671886094368623	0.030243242001640358	-0.5646204608753649	-1.7606723995525593	0.010065463695063542	1	DiagnosismitoPD
MIR223HG	-0.27476924119334	0.03343820573934053	-0.5829766881260205	-1.7473225327873878	0.002659086913695828	1	DiagnosismitoPD
WDFY3	-0.5049803681339329	0.0657196180516949	-1.0756803543195605	-1.7342620613282422	0.002211101818578049	1	DiagnosismitoPD
NFKB1	-0.35167170036112805	0.04717899456746244	-0.7505223952897185	-1.7281250248621902	0.11041637709210535	1	DiagnosismitoPD
CCDC144A	-0.26266714696803284	0.03977396488115237	-0.565108258817218	-1.7022095469479424	0.03656006446166379	1	DiagnosismitoPD
PRKCA	-0.6630185336579157	0.10101080729587608	-1.4270478746117075	-1.7008410245473347	0.0013940839348356565	1	DiagnosismitoPD
PSMD1	-0.6916810223496066	0.11146674518048882	-1.4948287898797021	-1.6879457895576775	7.497937184543262e-5	0.15475742348897292	DiagnosismitoPD
LPP	-0.13148224928612962	0.026057862418118694	-0.2890223609903779	-1.6357768851333239	0.004606976411428605	1	DiagnosismitoPD
HDAC4	-0.15506715369557345	0.03137850755030816	-0.341512814941455	-1.6301051705764724	0.01832371286457811	1	DiagnosismitoPD
EXOC6	-0.13606997146437871	0.028438007681648114	-0.30057795061040554	-1.621150808805715	1.679062459690006e-4	0.34504733546629623	DiagnosismitoPD
ARHGEF12	-0.24344849138945013	0.05665246995112905	-0.5435494527300293	-1.5899658337729294	0.00322608630551342	1	DiagnosismitoPD
AAK1	-0.28952743504155354	0.06774520418203911	-0.6468000742651462	-1.5883201872130155	0.030594543825449245	1	DiagnosismitoPD
INTS6	-0.2810850759673653	0.06815245514879048	-0.6303226070835211	-1.5774840227710436	0.07294525852347425	1	DiagnosismitoPD
FOXK2	-0.2022114093217824	0.0492527702767695	-0.45367558892033427	-1.576077675025102	0.011515197840820468	1	DiagnosismitoPD
HDLBP	-0.25891487123691315	0.06590414234626218	-0.5837338848200885	-1.5622971607732892	0.20328156711549303	1	DiagnosismitoPD
MYO5A	-0.414124027165919	0.10787051275120596	-0.936118567083044	-1.5549361464714813	0.010961725545886656	1	DiagnosismitoPD
TRIM44	-0.23037692879883442	0.0618980211577807	-0.5226518787554495	-1.5448825955891474	0.1565858974771865	1	DiagnosismitoPD
NLK	-0.2838883039746012	0.07709380874669708	-0.6448704166958994	-1.5413806718228247	0.03938547226407825	1	DiagnosismitoPD
SEL1L	-0.20244767469653802	0.05521029749216416	-0.4601056468852402	-1.5399878675925316	0.10077195579386897	1	DiagnosismitoPD
TM9SF3	-0.270229854613365	0.07379104827895894	-0.614250757505689	-1.5395598876021321	0.08625991431191062	1	DiagnosismitoPD
RPS6KC1	-0.3404333274314676	0.10390940818656352	-0.7847760630494987	-1.5016270266571494	0.0045321033839067285	1	DiagnosismitoPD
TTC13	-0.28454636827031	0.08762631636435347	-0.6567190529049735	-1.4984996394588574	0.031063969712928574	1	DiagnosismitoPD
SCFD1	-0.2172321529116077	0.06864155365035918	-0.5031058594735746	-1.489354166604889	0.08757184198235693	1	DiagnosismitoPD
ACER3	-0.5399443802253152	0.17092936972675288	-1.2508181301773833	-1.4886912605336382	0.1140486131234971	1	DiagnosismitoPD
HNRNPA2B1	-0.10143166477977861	0.032545962681115065	-0.23540929224067228	-1.483847815698436	0.022882492577719876	1	DiagnosismitoPD
SEC31A	-0.3974575515882246	0.13093759522948356	-0.9258526984059328	-1.4742801692785796	0.0013093045361484037	1	DiagnosismitoPD
RNGTT	-0.2327175386128726	0.07780395284171998	-0.5432390300674652	-1.4688773782304774	0.026789854718280194	1	DiagnosismitoPD
MNAT1	-0.4241121553448468	0.14985839548321023	-0.9980827061729038	-1.4482355387089711	0.07579380104446189	1	DiagnosismitoPD
SLMAP	-0.277239179551251	0.09947243830651098	-0.653950797409013	-1.442426464344015	0.043561151839569726	1	DiagnosismitoPD
CKLF	-0.25764469105996546	0.09370220900515758	-0.6089915911250885	-1.4372527982796568	0.15575188891425318	1	DiagnosismitoPD
FAM168A	-0.39343449239572603	0.152015833968288	-0.9388848187597401	-1.413726233352374	0.022731304228764054	1	DiagnosismitoPD
GRB2	-0.20179253688075605	0.07927205673213988	-0.482857130493652	-1.4071715670454534	0.007309243522968833	1	DiagnosismitoPD
ECPAS	-0.2250537339328733	0.09214064837657843	-0.542248116242325	-1.39062113863152	0.08720844711555996	1	DiagnosismitoPD
TTC37	-0.26116799373063926	0.10995534252834976	-0.6322913299896282	-1.37927155642247	0.014677049813321292	1	DiagnosismitoPD
DTNA	-0.10535869738049897	0.04469066812834216	-0.2554080628893401	-1.376208767185125	0.3855709878016448	1	DiagnosismitoPD
ATP2A2	-0.2223120745551821	0.09541770563918667	-0.5400418547495509	-1.3713655018109714	0.0066198946392199	1	DiagnosismitoPD
VOPP1	-0.29726559889370696	0.12966206450018253	-0.7241932622875964	-1.3647039478368321	0.04160274206622191	1	DiagnosismitoPD
NUDCD3	-0.3000290444638323	0.13156567740595054	-0.7316237663336151	-1.3624960910492738	0.17099846797639492	1	DiagnosismitoPD
CHSY3	-0.24961351176201152	0.11101114092594788	-0.6102381644499709	-1.3566279772099514	0.3334280141595819	1	DiagnosismitoPD
KIAA0232	-0.1474707421260193	0.06575046112240338	-0.36069194537444194	-1.3555750504026374	0.27670970425204366	1	DiagnosismitoPD
NIBAN1	-0.15383820412641125	0.06860193319076488	-0.3762783414435874	-1.3554988014782388	0.014500176541692066	1	DiagnosismitoPD
MSRA	-0.13105364652963702	0.058461625164561715	-0.32056891822383576	-1.3553547687449714	0.002031513214101764	1	DiagnosismitoPD
CMSS1	-0.4418845468204582	0.2013160580746719	-1.0850851517155884	-1.3465127216945167	4.684434043863374e-4	0.9420396862209245	DiagnosismitoPD
NAA16	-0.42152959206933516	0.19322311402243042	-1.0362822981611006	-1.3439270957034735	0.05127688190552959	1	DiagnosismitoPD
PTAR1	-0.2514169490500653	0.11543823353870869	-0.6182721316388393	-1.3432225810843668	0.26597355319041033	1	DiagnosismitoPD
PTK2	-0.3535147221205377	0.1629353357971145	-0.8699647800381899	-1.3416130228635152	6.028626508142321e-4	1	DiagnosismitoPD
ANKFY1	-0.18921812081577238	0.08742246083942551	-0.4658587024709703	-1.3405867635266169	0.042344587498396986	1	DiagnosismitoPD
SREBF2	-0.237837198948462	0.11087479360465113	-0.5865491915015751	-1.3367832310839505	0.053398694139658386	1	DiagnosismitoPD
NSD3	-0.19768298562234143	0.09342106004950351	-0.4887870312941864	-1.3309726812003975	0.3154800317085423	1	DiagnosismitoPD
SND1	-0.517934079685547	0.2451317247803908	-1.280999884151485	-1.3303336836854474	8.491102888411641e-7	0.0017865280477218093	DiagnosismitoPD
ASB3	-0.14442301121038614	0.06842210060340362	-0.3572681230241759	-1.3299055735835892	0.13374393454974057	1	DiagnosismitoPD
ARHGAP26	-0.4517170648638391	0.21901854001565846	-1.1224526697433368	-1.319967468395132	9.797607618303224e-4	1	DiagnosismitoPD
SCMH1	-0.41241777644358546	0.21091299721000678	-1.0357485500971777	-1.2967817771543784	0.003816757641101846	1	DiagnosismitoPD
PAK1	-0.23519223062225092	0.1204345715555652	-0.5908190328000671	-1.2962136111236138	0.2039789832194764	1	DiagnosismitoPD
FNIP2	-0.30484764855730107	0.1564596955662505	-0.7661549926808526	-1.2952111418889711	0.08294751271429891	1	DiagnosismitoPD
PDXDC1	-0.1820986599147305	0.093469303529786	-0.457666623359247	-1.2951680253562559	0.23584333908997643	1	DiagnosismitoPD
PHTF2	-0.17812458950059096	0.09256337407178178	-0.4488125530729637	-1.2897425344470383	0.11004559003177924	1	DiagnosismitoPD
ATF2	-0.267335383995174	0.1389594921655733	-0.6736302601559212	-1.2896242487104927	0.006877001372414903	1	DiagnosismitoPD
ARHGAP5	-0.3045952384344941	0.16258691977610423	-0.7717773966450925	-1.27786493277186	0.25361187874251395	1	DiagnosismitoPD
RAB3GAP2	-0.1723463441851505	0.09341708826431777	-0.43810977663461875	-1.2710274861996533	0.037030386213173484	1	DiagnosismitoPD
SCFD2	-0.42065299271108003	0.22884086580639784	-1.070146851228558	-1.26939570696575	8.941982188226642e-4	1	DiagnosismitoPD
SHPRH	-0.1720307815209301	0.09945654648312591	-0.4435181095249861	-1.2419516538475939	0.3402387968448057	1	DiagnosismitoPD
