primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
ARGLU1	-0.3248394746733494	-0.2428404592611466	-0.4068384900855522	-7.764406290931247	2.580406991319723e-8	6.316836314750682e-5	DiagnosismitoPD
CBR1	-0.21549310256849274	-0.14476357548089716	-0.28622262965608836	-5.971462518446755	2.154446791150935e-10	5.289166872275546e-7	DiagnosismitoPD
FTH1	-0.5675294757181453	-0.36557681064968517	-0.7694821407866054	-5.507911134499719	2.3758189576225105e-5	0.05682958946633045	DiagnosismitoPD
ZNF565	-0.34736488504525553	-0.22371505230294575	-0.4710147177875653	-5.506054064799692	9.964505369266588e-6	0.02400449343456321	DiagnosismitoPD
MAX	-0.7125735498552457	-0.45363219103739055	-0.9715149086731008	-5.393570576860027	6.964554358436375e-9	1.706315817816912e-5	DiagnosismitoPD
SELENOW	-0.30683148098348	-0.19052839761049406	-0.42313456435646596	-5.17078855185701	1.7365712665079612e-8	4.252863031677997e-5	DiagnosismitoPD
DBNDD2	-0.33156546152158795	-0.2023973509419976	-0.46073357210117827	-5.031089795954607	8.302961523432779e-8	2.0300740924793144e-4	DiagnosismitoPD
PAXBP1	-0.3657248075750499	-0.22310847548750104	-0.5083411396625988	-5.0261245721836945	1.2244699668433327e-5	0.029460747402250582	DiagnosismitoPD
ERMN	-0.3452352637034162	-0.2034538813162923	-0.4870166460905401	-4.77247909181999	4.5552559327007095e-7	0.001110571396392433	DiagnosismitoPD
PTMA	-0.43897432191483343	-0.25569730797189283	-0.622251335857774	-4.694390434355419	9.731753687905891e-8	2.3774674259554094e-4	DiagnosismitoPD
TCHP	-0.35228918528018127	-0.20467284390035118	-0.49990552666001137	-4.677491047657532	7.102358657556886e-8	1.73794716350417e-4	DiagnosismitoPD
SLAIN1	-0.3346809505954145	-0.18090374276634594	-0.48845815842448304	-4.265668617210025	6.000100556875039e-6	0.014520243347637594	DiagnosismitoPD
CRYAB	-0.40619646780673513	-0.21849143691483724	-0.5939014986986331	-4.241391100524565	4.8246468529075325e-9	1.1825209436476362e-5	DiagnosismitoPD
PRDM2	-0.2573519235498034	-0.13644989160163823	-0.3782539554979686	-4.171977041096991	4.630853134454766e-6	0.011211295438514988	DiagnosismitoPD
CD164	-0.4507508553738846	-0.22983138551212112	-0.6716703252356481	-3.998993131235754	9.398258946187031e-7	0.00228283709802883	DiagnosismitoPD
ZNF708	-0.44768443844616757	-0.22785763558229913	-0.667511241310036	-3.99153044288644	1.6823276010430675e-9	4.125067277757602e-6	DiagnosismitoPD
PIGC	-0.6095091126491625	-0.30941589181587037	-0.9096023334824547	-3.980816046840852	1.5269385995169446e-9	3.745580384615065e-6	DiagnosismitoPD
FTL	-0.33234315421256966	-0.16779442539058756	-0.4968918830345518	-3.9585879357948555	1.3102156111485544e-5	0.03151068544812274	DiagnosismitoPD
TTC1	-0.36123964854067014	-0.17266727846910698	-0.5498120186122333	-3.7546152740135166	1.0647446935489196e-5	0.025628404773722493	DiagnosismitoPD
LINC00513	-0.23499397802477917	-0.11232160348744887	-0.3576663525621095	-3.754551383304359	3.419833686644091e-7	8.340974361724937e-4	DiagnosismitoPD
PPP1R14A	-0.2553105491797143	-0.12161826797814149	-0.38900283038128713	-3.742919761470083	0.0012060309093247239	1	DiagnosismitoPD
STXBP3	-0.1975325898920548	-0.09321855351832316	-0.30184662626578646	-3.7114541381014172	2.328361778156729e-4	0.5394814239989141	DiagnosismitoPD
ZNF83	-0.2941872562395582	-0.13821669622040383	-0.4501578162587126	-3.69682859938042	5.3576671180119936e-5	0.12686955735452402	DiagnosismitoPD
MYSM1	-0.19097220155433425	-0.08967532040912572	-0.29226908269954277	-3.6950657598062087	3.1585209450233113e-4	0.725828113166357	DiagnosismitoPD
LRRTM3	-0.7940669872000723	-0.36144679895777065	-1.226687175442374	-3.597480511826448	3.982327791795298e-5	0.09462010833305629	DiagnosismitoPD
SLC48A1	-0.17395306695546742	-0.0769084604095565	-0.2709976735013783	-3.513247756553109	1.7637990699060643e-4	0.41025966366015054	DiagnosismitoPD
CAPN3	-0.20037634999387954	-0.08820971586458351	-0.3125429841231756	-3.5013124213827322	0.001049030612546383	1	DiagnosismitoPD
ANKUB1	-0.6412749570206406	-0.280936965971074	-1.0016129480702074	-3.4880469203011004	7.858500286007369e-6	0.01896256119013578	DiagnosismitoPD
NAP1L4	-0.18880226791731403	-0.08211710728029045	-0.29548742855433763	-3.4685765396785504	0.001217958077908247	1	DiagnosismitoPD
