MRC.complex	Entrez.ID	MouseOrthologGeneID	EnsemblGeneID	Symbol	Localization.function.in.complex	Family	Description	Pfam	Symbol_Old
complex I	4535	17716	ENSG00000198888	MT-ND1	core subunit	mtDNA encoded	"NADH dehydrogenase, subunit 1 (complex I)"	Pfam PF05347	MT-ND1
complex I	4536	17717	ENSG00000198763	MT-ND2	core subunit	mtDNA encoded	"NADH dehydrogenase, subunit 2 (complex I)"	Pfam PF15088	MT-ND2
complex I	4537	17718	ENSG00000198840	MT-ND3	core subunit	mtDNA encoded	"NADH dehydrogenase, subunit 3 (complex I)"	Pfam PF06374	MT-ND3
complex I	4538	17719	ENSG00000198886	MT-ND4	core subunit	mtDNA encoded	"NADH dehydrogenase, subunit 4 (complex I)"	Pfam PF00384	MT-ND4
complex I	4539	17720	ENSG00000212907	MT-ND4L	core subunit	mtDNA encoded	"NADH dehydrogenase, subunit 4L (complex I)"	Pfam PF00346	MT-ND4L
complex I	4540	17721	ENSG00000198786	MT-ND5	core subunit	mtDNA encoded	"NADH dehydrogenase, subunit 5 (complex I)"	Pfam PF00329	MT-ND5
complex I	4541	17722	ENSG00000198695	MT-ND6	core subunit	mtDNA encoded	"NADH dehydrogenase, subunit 6 (complex I)"	Pfam PF04800	MT-ND6
complex I	4719	227197	ENSG00000023228	NDUFS1	core subunit	NADH dehydrogenase (ubiquinone) Fe-S protein	"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)"	Pfam PF10200	NDUFS1
complex I	4720	226646	ENSG00000158864	NDUFS2	core subunit	NADH dehydrogenase (ubiquinone) Fe-S protein	"NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)"	Pfam PF10276	NDUFS2
complex I	4722	68349	ENSG00000213619	NDUFS3	core subunit	NADH dehydrogenase (ubiquinone) Fe-S protein	"NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)"		NDUFS3
complex I	374291	75406	ENSG00000115286	NDUFS7	core subunit	NADH dehydrogenase (ubiquinone) Fe-S protein	"NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)"	Pfam PF12838	NDUFS7
complex I	4728	225887	ENSG00000110717	NDUFS8	core subunit	NADH dehydrogenase (ubiquinone) Fe-S protein	"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)"	Pfam PF01512	NDUFS8
complex I	4723	17995	ENSG00000167792	NDUFV1	core subunit	NADH dehydrogenase (ubiquinone) flavoprotein 1	"NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa"	Pfam PF01257	NDUFV1
complex I	4729	72900	ENSG00000178127	NDUFV2	core subunit	NADH dehydrogenase (ubiquinone) flavoprotein 2	"NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa"	-	NDUFV2
